cert_validity_days,issuer_trusted,domain_mismatch,self_signed,weak_cipher,expired,key_size,is_suspicious
26,0,0,1,1,0,1024,1
187,1,0,0,0,0,4096,0
571,1,0,0,0,0,2048,0
588,1,0,0,1,0,2048,0
319,0,0,0,0,0,4096,0
346,1,0,0,0,0,2048,0
132,1,0,0,0,0,2048,0
72,0,1,0,0,1,1024,1
643,1,0,0,0,0,2048,0
184,0,0,0,0,0,2048,0
277,1,0,0,0,0,2048,0
474,1,0,0,0,0,2048,0
32,0,0,0,1,1,1024,1
595,1,0,0,0,0,2048,0
12,0,1,1,1,1,1024,1
63,0,0,0,0,0,2048,1
176,1,0,0,0,0,4096,0
578,1,0,0,0,0,2048,0
51,0,1,0,0,0,2048,1
434,1,0,0,0,0,2048,0
607,1,0,0,0,0,2048,0
68,1,1,1,1,0,1024,1
385,1,0,0,0,0,2048,0
503,1,0,0,0,0,2048,0
224,1,0,0,0,0,4096,0
39,0,1,0,0,0,1024,1
93,1,0,0,1,0,2048,0
267,1,0,0,1,0,4096,0
348,1,0,0,0,0,4096,0
154,1,0,0,1,0,2048,0
452,1,0,0,0,0,2048,0
106,1,0,0,0,0,2048,0
289,1,0,0,0,0,2048,0
66,0,1,0,1,1,1024,1
301,1,0,0,1,0,2048,0
524,0,0,0,0,0,2048,0
362,1,0,0,0,0,2048,0
16,1,0,1,0,1,2048,1
572,1,0,0,0,0,2048,0
84,0,1,1,1,1,2048,1
497,1,0,0,0,0,2048,0
235,1,0,0,0,0,2048,0
651,1,0,0,0,0,2048,0
519,1,0,0,1,0,4096,0
521,1,0,0,0,0,2048,0
704,1,0,0,0,0,2048,0
634,1,0,0,0,0,2048,0
586,1,0,0,0,0,2048,0
178,1,0,1,0,0,2048,0
86,0,0,0,1,0,1024,1
330,1,0,0,1,0,2048,0
312,1,0,0,0,0,2048,0
10,0,1,0,1,1,1024,1
658,1,0,0,0,0,4096,0
411,1,0,0,1,0,2048,0
464,1,0,0,0,0,2048,0
201,1,0,0,0,0,2048,0
17,0,1,1,0,0,2048,1
60,0,0,1,1,0,1024,1
358,1,0,0,0,0,2048,0
36,1,1,0,0,0,2048,1
73,0,0,1,1,0,2048,1
463,1,0,0,0,0,2048,0
36,0,1,1,0,0,1024,1
539,0,0,0,0,0,4096,0
51,0,0,0,1,0,1024,1
70,1,1,1,1,0,1024,1
344,0,0,0,0,0,2048,0
552,1,0,0,0,0,4096,0
357,1,0,0,0,0,2048,0
215,1,0,0,0,0,4096,0
77,1,0,1,1,1,2048,1
80,0,1,0,0,0,1024,1
654,1,0,0,0,0,2048,0
457,1,0,0,0,0,2048,0
644,1,0,0,0,0,2048,0
643,1,0,0,0,0,2048,0
545,0,0,0,0,0,2048,0
156,1,0,0,0,0,2048,0
74,0,1,1,1,1,1024,1
684,0,0,0,0,0,2048,0
706,1,0,0,0,0,2048,0
489,1,0,0,0,0,4096,0
376,1,0,0,0,0,2048,0
76,0,1,1,0,1,1024,1
14,0,1,0,1,1,1024,1
605,1,0,0,0,0,2048,0
326,1,0,0,0,0,4096,0
107,1,0,0,0,0,2048,0
503,1,0,0,0,0,2048,0
98,1,0,0,0,0,2048,0
509,1,0,0,0,0,4096,0
118,1,0,0,0,0,4096,0
437,1,0,0,0,0,2048,0
665,1,0,0,1,0,4096,0
14,1,1,1,1,0,1024,1
469,1,0,0,0,0,2048,0
455,1,0,0,0,0,4096,0
316,1,0,0,0,0,2048,0
42,1,1,1,1,1,1024,1
501,1,0,0,0,0,2048,0
445,1,0,0,0,0,2048,0
68,0,1,1,0,1,2048,1
632,1,0,0,0,0,2048,0
533,1,0,0,0,0,2048,0
170,1,0,0,0,0,2048,0
135,1,0,0,0,0,2048,0
138,1,0,0,0,0,2048,0
538,1,0,1,0,0,2048,0
496,1,0,0,0,0,2048,0
25,0,1,0,0,0,2048,1
562,1,0,0,0,0,2048,0
505,1,0,0,0,0,2048,0
689,1,0,0,0,0,2048,0
210,1,0,0,0,0,2048,0
92,1,0,0,0,0,2048,0
405,1,0,0,0,0,2048,0
549,1,0,0,0,0,2048,0
316,1,0,0,0,0,2048,0
168,0,0,0,0,0,2048,0
633,1,0,0,0,0,2048,0
160,1,0,0,0,0,2048,0
286,1,0,1,0,0,2048,0
9,1,1,1,1,0,1024,1
513,1,0,0,0,0,2048,0
558,1,0,0,0,0,2048,0
713,1,0,0,0,0,2048,0
62,1,0,0,0,1,2048,1
69,1,1,1,0,1,2048,1
274,1,0,0,0,0,2048,0
254,1,0,0,0,0,2048,0
5,0,1,0,1,0,2048,1
419,1,0,0,0,0,2048,0
210,1,0,0,0,0,2048,0
302,1,0,0,0,0,2048,0
596,1,0,0,0,0,2048,0
27,0,1,0,1,1,2048,1
10,0,1,1,1,1,1024,1
635,1,0,0,0,0,2048,0
516,1,0,0,0,0,2048,0
310,1,0,0,0,0,4096,0
99,1,0,0,0,0,2048,0
6,1,1,0,1,1,2048,1
62,0,1,1,1,0,1024,1
5,0,1,0,1,1,2048,1
449,1,0,0,0,0,2048,0
310,1,0,0,0,0,2048,0
595,1,0,0,0,0,4096,0
59,1,1,0,0,0,1024,1
549,1,0,0,0,0,2048,0
217,1,0,0,0,0,2048,0
175,1,0,0,0,0,2048,0
193,1,0,0,0,0,2048,0
232,0,0,0,1,0,2048,0
294,1,0,0,1,0,2048,0
127,1,0,0,0,0,2048,0
452,1,0,0,0,0,2048,0
710,1,0,0,0,0,2048,0
398,1,0,0,1,0,4096,0
141,1,0,0,1,0,2048,0
90,1,0,0,1,0,4096,0
100,1,0,0,0,0,2048,0
729,1,0,0,0,0,2048,0
303,1,0,0,0,0,2048,0
16,0,1,0,1,0,2048,1
607,1,0,0,0,0,2048,0
504,1,0,0,0,0,2048,0
97,1,0,1,0,0,2048,0
94,1,0,0,0,0,2048,0
451,1,0,0,0,0,2048,0
201,1,0,0,0,0,2048,0
47,0,1,1,1,0,2048,1
511,1,0,0,0,0,2048,0
55,0,1,1,1,1,1024,1
547,1,0,0,0,0,2048,0
62,1,0,1,1,0,2048,1
167,1,0,0,0,0,2048,0
310,1,0,0,0,0,2048,0
458,1,0,0,0,0,2048,0
436,1,0,0,0,0,2048,0
114,1,0,0,0,0,4096,0
509,1,0,0,0,0,2048,0
443,1,0,0,0,0,2048,0
506,1,0,0,1,0,4096,0
604,1,0,0,0,0,2048,0
6,0,1,1,0,1,1024,1
1,0,0,1,0,0,1024,1
8,0,1,1,1,1,1024,1
517,1,0,0,0,0,2048,0
651,1,0,0,0,0,2048,0
88,0,0,1,0,0,2048,1
502,1,0,0,0,0,2048,0
47,0,1,0,0,0,1024,1
55,0,1,1,0,1,2048,1
64,1,0,1,1,1,2048,1
347,1,0,0,0,0,2048,0
345,1,0,0,0,0,2048,0
56,0,0,1,0,0,1024,1
513,1,0,0,0,0,2048,0
154,0,0,0,0,0,2048,0
279,1,0,0,0,0,2048,0
17,1,0,0,0,1,2048,1
262,0,0,0,0,0,2048,0
717,1,0,0,0,0,2048,0
650,1,0,0,0,0,2048,0
316,1,0,0,0,0,2048,0
70,0,0,1,1,0,2048,1
477,1,0,0,0,0,2048,0
490,1,0,0,0,0,4096,0
37,0,1,1,0,1,1024,1
302,1,0,0,0,0,2048,0
142,1,0,0,0,0,2048,0
713,1,0,0,1,0,2048,0
228,0,0,0,0,0,2048,0
507,1,0,1,0,0,4096,0
77,0,0,1,1,1,1024,1
29,0,0,0,1,0,2048,1
32,0,1,0,0,0,1024,1
88,0,1,1,0,1,1024,1
526,1,0,0,0,0,2048,0
632,1,0,0,0,0,2048,0
6,0,0,0,1,1,1024,1
709,1,0,0,0,0,2048,0
373,1,0,0,0,0,2048,0
18,0,1,0,1,0,1024,1
37,0,0,1,0,1,1024,1
361,1,0,1,0,0,4096,0
114,1,0,0,1,0,2048,0
411,1,0,0,0,0,2048,0
192,1,0,0,1,0,2048,0
129,1,0,0,0,0,2048,0
324,1,0,0,0,0,2048,0
178,1,0,0,0,0,2048,0
189,1,0,0,0,0,2048,0
233,1,0,0,0,0,2048,0
171,1,0,0,0,0,2048,0
678,1,0,0,0,0,2048,0
56,1,1,1,1,0,2048,1
318,1,0,0,0,0,2048,0
692,0,0,0,0,0,4096,0
484,0,0,0,0,0,4096,0
12,1,0,1,1,0,1024,1
286,1,0,0,0,0,4096,0
363,1,0,0,0,0,2048,0
679,1,0,0,1,0,2048,0
672,1,0,1,0,0,4096,0
651,1,0,0,0,0,2048,0
461,1,0,0,0,0,4096,0
169,1,0,0,0,0,2048,0
324,1,0,0,0,0,2048,0
61,0,1,0,1,0,1024,1
661,1,0,0,0,0,2048,0
634,1,0,0,0,0,2048,0
34,1,1,1,1,1,2048,1
216,1,0,1,0,0,2048,0
506,1,0,0,0,0,2048,0
727,1,0,0,0,0,2048,0
130,1,0,0,0,0,2048,0
25,0,1,1,1,1,2048,1
59,0,1,0,1,0,1024,1
686,1,0,0,0,0,2048,0
690,1,0,0,0,0,2048,0
131,1,0,0,0,0,2048,0
721,1,0,0,0,0,2048,0
368,1,0,0,0,0,2048,0
548,0,0,0,0,0,2048,0
122,0,0,0,1,0,2048,0
365,1,0,0,0,0,2048,0
179,1,0,0,0,0,2048,0
53,0,1,0,1,1,2048,1
613,1,0,0,1,0,2048,0
249,1,0,0,0,0,4096,0
547,1,0,0,0,0,2048,0
488,1,0,1,0,0,2048,0
180,1,0,0,0,0,2048,0
670,1,0,0,0,0,2048,0
81,0,1,1,1,1,2048,1
309,1,0,0,0,0,2048,0
508,1,0,0,0,0,2048,0
468,1,0,0,0,0,2048,0
536,1,0,0,0,0,2048,0
62,1,1,1,0,0,1024,1
322,1,0,0,0,0,2048,0
460,1,0,0,0,0,2048,0
323,1,0,0,0,0,2048,0
456,1,0,0,0,0,2048,0
570,1,0,0,0,0,2048,0
662,1,0,0,0,0,2048,0
452,1,0,0,0,0,2048,0
679,1,0,0,0,0,2048,0
600,1,0,0,0,0,2048,0
184,1,0,0,0,0,2048,0
305,1,0,0,0,0,2048,0
632,1,0,0,0,0,2048,0
224,1,0,0,0,0,2048,0
172,1,0,0,0,0,2048,0
33,0,1,1,1,0,1024,1
136,1,0,0,0,0,2048,0
481,1,0,0,0,0,4096,0
474,1,0,0,0,0,2048,0
470,1,0,0,0,0,2048,0
166,1,0,0,1,0,4096,0
348,1,0,0,0,0,2048,0
7,0,0,1,1,1,1024,1
488,0,0,0,0,0,2048,0
189,1,0,0,0,0,2048,0
590,1,0,0,0,0,2048,0
472,1,0,0,0,0,2048,0
281,1,0,0,0,0,2048,0
58,1,1,0,1,0,1024,1
691,1,0,0,1,0,4096,0
48,0,1,1,1,0,2048,1
31,1,1,0,1,0,1024,1
353,1,0,0,0,0,2048,0
357,1,0,0,0,0,2048,0
719,1,0,0,0,0,2048,0
660,1,0,0,0,0,2048,0
284,1,0,0,0,0,2048,0
651,1,0,0,0,0,4096,0
496,1,0,0,0,0,2048,0
385,0,0,0,0,0,2048,0
54,0,1,0,1,0,1024,1
551,1,0,0,1,0,2048,0
75,0,0,1,1,0,2048,1
176,1,0,0,0,0,2048,0
166,1,0,1,0,0,2048,0
572,1,0,0,0,0,4096,0
235,1,0,0,0,0,2048,0
48,1,1,0,0,0,1024,1
386,1,0,0,0,0,2048,0
83,1,0,1,1,0,2048,1
423,1,0,0,0,0,2048,0
612,1,0,0,0,0,2048,0
9,1,0,0,1,1,2048,1
34,0,1,1,1,0,2048,1
45,0,1,1,1,1,1024,1
519,1,0,0,0,0,2048,0
703,1,0,0,0,0,2048,0
7,0,0,0,1,1,2048,1
222,1,0,0,0,0,2048,0
19,0,1,0,1,0,2048,1
6,0,1,0,1,1,2048,1
368,1,0,0,0,0,4096,0
76,0,1,1,1,0,1024,1
61,0,0,1,1,1,2048,1
631,1,0,0,0,0,2048,0
13,1,1,0,1,1,1024,1
542,1,0,0,0,0,2048,0
85,0,0,0,1,1,1024,1
146,1,0,0,0,0,2048,0
20,0,0,0,0,0,1024,1
447,1,0,0,1,0,2048,0
290,1,0,0,0,0,4096,0
88,1,0,1,1,1,1024,1
391,1,0,0,0,0,2048,0
195,1,0,0,0,0,2048,0
12,0,1,1,1,1,1024,1
40,1,1,0,0,0,2048,1
118,0,0,0,0,0,4096,0
595,1,0,0,0,0,2048,0
527,1,0,0,0,0,4096,0
468,1,0,0,0,0,2048,0
162,1,0,0,0,0,2048,0
343,1,0,0,0,0,4096,0
62,0,0,0,1,1,1024,1
86,1,1,0,0,1,1024,1
47,0,1,1,1,1,2048,1
714,1,0,0,0,0,2048,0
624,0,0,0,0,0,2048,0
510,1,0,0,0,0,4096,0
535,1,0,0,0,0,2048,0
225,1,0,0,0,0,2048,0
38,0,1,0,1,0,2048,1
390,1,0,0,0,0,2048,0
698,1,0,0,0,0,2048,0
122,1,0,0,1,0,2048,0
67,0,0,0,1,1,1024,1
222,1,0,0,1,0,2048,0
616,1,0,0,0,0,2048,0
215,1,0,0,0,0,2048,0
434,1,0,1,0,0,2048,0
106,1,0,0,0,0,2048,0
58,0,1,1,1,0,1024,1
719,1,0,0,0,0,2048,0
467,1,0,1,0,0,4096,0
149,1,0,0,0,0,2048,0
3,0,1,1,0,0,2048,1
556,1,0,1,0,0,2048,0
717,1,0,0,0,0,4096,0
58,0,0,1,0,1,2048,1
63,0,1,0,1,1,2048,1
52,1,1,0,1,1,1024,1
89,0,1,1,1,0,2048,1
450,1,0,1,0,0,2048,0
538,1,0,0,0,0,2048,0
9,1,1,0,1,0,2048,1
219,1,0,0,0,0,2048,0
238,1,0,0,0,0,2048,0
53,1,1,0,1,0,2048,1
712,1,0,0,0,0,2048,0
589,1,0,0,0,0,2048,0
444,1,0,0,0,0,2048,0
300,1,0,0,0,0,2048,0
685,1,0,0,0,0,4096,0
119,1,0,0,0,0,4096,0
666,0,0,0,0,0,4096,0
113,1,0,0,0,0,2048,0
311,1,0,0,0,0,2048,0
691,1,0,0,0,0,2048,0
61,0,1,1,1,0,2048,1
678,1,0,0,0,0,2048,0
669,1,0,0,0,0,2048,0
88,0,1,0,0,1,2048,1
693,1,0,0,0,0,2048,0
17,0,0,1,1,0,2048,1
177,0,0,0,0,0,2048,0
57,0,1,1,0,1,2048,1
139,1,0,0,0,0,2048,0
44,1,1,1,0,0,1024,1
457,1,0,0,0,0,2048,0
80,0,1,1,1,0,1024,1
647,1,0,1,0,0,4096,0
357,1,0,0,0,0,2048,0
47,1,1,1,1,0,1024,1
409,1,0,0,1,0,2048,0
609,1,0,0,0,0,2048,0
538,1,0,0,1,0,2048,0
565,1,0,0,0,0,2048,0
679,1,0,0,0,0,2048,0
329,1,0,0,0,0,2048,0
16,1,1,1,1,0,2048,1
479,1,0,0,0,0,2048,0
432,1,0,0,0,0,2048,0
74,0,1,1,1,0,1024,1
81,0,1,1,0,0,1024,1
359,1,0,0,0,0,2048,0
238,1,0,0,0,0,4096,0
469,1,0,0,0,0,2048,0
117,1,0,0,0,0,2048,0
238,1,0,0,0,0,4096,0
509,1,0,0,0,0,2048,0
369,1,0,0,0,0,4096,0
271,1,0,0,0,0,2048,0
89,0,0,1,1,0,1024,1
64,0,1,1,0,1,2048,1
239,1,0,0,0,0,2048,0
428,1,0,0,0,0,2048,0
134,1,0,0,0,0,2048,0
52,1,1,1,1,0,2048,1
278,1,0,0,0,0,2048,0
150,1,0,0,1,0,2048,0
37,1,1,1,1,1,1024,1
85,1,0,1,1,0,1024,1
4,0,1,1,1,1,2048,1
504,1,0,0,0,0,2048,0
713,1,0,0,0,0,2048,0
638,1,0,0,0,0,2048,0
14,0,0,0,1,1,2048,1
71,1,1,1,0,1,1024,1
189,1,0,0,0,0,2048,0
112,1,0,0,1,0,2048,0
509,1,0,0,0,0,2048,0
52,1,1,0,0,0,1024,1
30,1,1,1,1,1,1024,1
178,1,0,0,0,0,4096,0
298,1,0,0,0,0,4096,0
360,1,0,0,0,0,4096,0
30,0,0,0,0,0,1024,1
42,1,1,1,1,1,2048,1
11,0,1,0,1,0,1024,1
679,1,0,0,0,0,2048,0
417,1,0,0,0,0,4096,0
699,1,0,0,0,0,2048,0
425,1,0,0,0,0,4096,0
18,0,1,1,1,1,2048,1
77,0,0,1,1,1,2048,1
45,0,1,0,1,1,1024,1
88,1,1,1,1,0,2048,1
572,1,0,0,0,0,2048,0
12,0,1,0,1,1,1024,1
49,1,1,0,0,1,1024,1
31,0,1,0,1,1,2048,1
514,1,0,0,0,0,2048,0
676,1,0,0,0,0,4096,0
599,1,0,0,0,0,2048,0
77,0,1,1,1,1,2048,1
516,1,0,1,0,0,4096,0
563,1,0,0,1,0,2048,0
657,1,0,0,0,0,4096,0
450,1,0,0,0,0,2048,0
300,1,0,0,0,0,2048,0
268,1,0,0,0,0,2048,0
147,1,0,0,0,0,4096,0
162,0,0,0,0,0,2048,0
36,0,1,0,0,1,1024,1
162,1,0,0,0,0,2048,0
24,1,0,1,0,1,1024,1
360,1,0,0,1,0,2048,0
588,1,0,1,0,0,2048,0
69,0,1,1,1,0,1024,1
323,1,0,0,0,0,2048,0
408,1,0,0,0,0,2048,0
108,1,0,0,0,0,2048,0
45,0,1,1,1,1,1024,1
664,1,0,0,0,0,2048,0
461,1,0,0,0,0,2048,0
273,1,0,0,0,0,2048,0
366,1,0,0,0,0,2048,0
234,1,0,0,0,0,4096,0
170,1,0,0,0,0,2048,0
411,0,0,0,0,0,2048,0
524,1,0,0,0,0,2048,0
132,1,0,0,0,0,2048,0
59,0,0,1,0,1,1024,1
382,1,0,0,0,0,2048,0
158,1,0,0,0,0,4096,0
44,0,1,1,0,1,2048,1
720,1,0,0,0,0,2048,0
293,1,0,0,0,0,4096,0
87,0,0,1,1,0,1024,1
60,0,0,0,1,0,1024,1
639,1,0,0,0,0,4096,0
8,1,0,1,1,1,2048,1
290,1,0,0,0,0,4096,0
563,1,0,0,0,0,2048,0
616,1,0,0,0,0,2048,0
69,0,1,1,0,1,1024,1
567,1,0,0,0,0,2048,0
529,1,0,0,0,0,2048,0
352,1,0,0,0,0,2048,0
274,1,0,0,0,0,4096,0
144,1,0,0,1,0,4096,0
397,1,0,0,0,0,2048,0
605,1,0,0,0,0,2048,0
388,1,0,0,0,0,2048,0
641,1,0,0,0,0,2048,0
319,1,0,0,0,0,2048,0
466,1,0,0,0,0,2048,0
375,1,0,0,0,0,2048,0
77,0,1,1,1,0,1024,1
567,1,0,0,0,0,2048,0
704,1,0,0,0,0,4096,0
96,1,0,0,0,0,2048,0
508,1,0,0,0,0,2048,0
561,1,0,0,1,0,4096,0
509,1,0,0,0,0,2048,0
365,1,0,0,0,0,2048,0
650,1,0,0,0,0,4096,0
697,1,0,0,0,0,2048,0
660,1,0,0,0,0,2048,0
179,1,0,0,0,0,2048,0
371,1,0,0,0,0,2048,0
637,1,0,0,0,0,2048,0
260,1,0,0,0,0,2048,0
727,1,0,0,1,0,4096,0
444,1,0,0,0,0,2048,0
25,0,1,1,1,0,1024,1
378,1,0,0,1,0,2048,0
551,1,0,0,0,0,2048,0
46,1,0,1,1,1,1024,1
14,0,1,0,0,0,1024,1
390,1,0,0,0,0,2048,0
689,1,0,0,0,0,2048,0
14,0,1,1,1,1,2048,1
229,1,0,0,0,0,2048,0
367,1,0,0,0,0,4096,0
600,1,0,0,0,0,2048,0
435,1,0,0,0,0,2048,0
229,0,0,0,0,0,4096,0
203,1,0,0,0,0,2048,0
669,1,0,0,0,0,2048,0
596,1,0,0,0,0,4096,0
455,1,0,0,0,0,2048,0
726,1,0,0,0,0,2048,0
486,1,0,0,0,0,4096,0
200,0,0,0,0,0,2048,0
15,0,1,1,1,1,1024,1
327,1,0,0,0,0,2048,0
92,1,0,0,0,0,2048,0
493,1,0,0,0,0,2048,0
114,1,0,0,0,0,2048,0
598,1,0,0,0,0,2048,0
554,1,0,0,1,0,2048,0
150,1,0,0,0,0,2048,0
597,1,0,0,0,0,2048,0
212,1,0,0,1,0,2048,0
586,1,0,0,0,0,2048,0
144,1,0,0,0,0,4096,0
252,1,0,0,1,0,2048,0
128,1,0,0,0,0,2048,0
27,0,1,1,1,1,2048,1
635,1,0,0,0,0,4096,0
202,1,0,0,0,0,2048,0
6,0,1,1,1,0,1024,1
319,1,0,0,0,0,2048,0
372,1,0,0,0,0,4096,0
376,1,0,1,0,0,2048,0
244,1,0,0,1,0,2048,0
254,1,0,0,1,0,2048,0
271,1,0,0,0,0,2048,0
328,1,0,0,0,0,2048,0
428,1,0,0,1,0,2048,0
601,1,0,0,0,0,2048,0
355,1,0,0,0,0,2048,0
276,1,0,0,0,0,2048,0
129,1,0,0,0,0,2048,0
86,0,1,0,1,0,2048,1
480,1,0,0,0,0,2048,0
349,1,0,0,0,0,2048,0
265,1,0,0,0,0,2048,0
418,1,0,0,0,0,2048,0
289,1,0,0,0,0,2048,0
285,1,0,1,0,0,2048,0
678,1,0,1,0,0,2048,0
620,1,0,0,0,0,2048,0
151,1,0,0,0,0,2048,0
72,0,1,0,1,1,2048,1
370,1,0,0,0,0,2048,0
316,1,0,0,0,0,2048,0
728,1,0,0,0,0,4096,0
61,0,1,1,1,0,1024,1
566,1,0,0,0,0,2048,0
465,1,0,0,0,0,2048,0
27,1,1,1,0,1,1024,1
1,0,0,1,1,0,1024,1
34,0,0,1,1,0,1024,1
341,1,0,0,0,0,2048,0
411,1,0,0,0,0,2048,0
465,1,0,0,0,0,2048,0
33,0,1,0,1,1,1024,1
577,1,0,0,0,0,2048,0
432,1,0,0,0,0,2048,0
329,1,0,0,0,0,2048,0
51,0,1,1,1,0,1024,1
211,1,0,0,0,0,4096,0
509,1,0,0,0,0,2048,0
650,1,0,0,0,0,4096,0
393,1,0,0,0,0,2048,0
204,1,0,0,0,0,2048,0
432,1,0,0,0,0,2048,0
340,1,0,0,0,0,2048,0
96,1,0,0,0,0,2048,0
678,1,0,0,0,0,4096,0
268,1,0,0,0,0,2048,0
234,1,0,0,0,0,2048,0
505,1,0,0,0,0,4096,0
210,1,0,1,0,0,2048,0
213,1,0,0,0,0,2048,0
239,1,0,0,0,0,2048,0
486,1,0,0,0,0,4096,0
56,0,1,0,0,1,2048,1
90,1,0,0,0,0,2048,0
42,0,1,0,1,0,2048,1
487,1,0,0,1,0,2048,0
340,1,0,0,0,0,4096,0
48,0,0,0,1,0,2048,1
388,1,0,0,0,0,2048,0
386,1,0,0,0,0,2048,0
589,1,0,0,0,0,2048,0
204,1,0,0,0,0,2048,0
15,0,0,1,1,0,1024,1
69,0,0,1,0,1,1024,1
77,1,1,1,0,1,1024,1
571,1,0,0,0,0,2048,0
699,1,0,0,1,0,2048,0
62,1,1,0,1,1,1024,1
599,1,0,0,0,0,2048,0
424,1,0,0,0,0,4096,0
554,1,0,0,0,0,4096,0
230,1,0,0,0,0,2048,0
26,0,1,1,0,1,1024,1
226,1,0,0,0,0,4096,0
73,0,0,0,1,1,2048,1
256,1,0,0,0,0,2048,0
432,1,0,0,0,0,4096,0
499,1,0,0,0,0,2048,0
21,0,0,1,1,0,2048,1
670,1,0,0,0,0,2048,0
156,1,0,0,0,0,2048,0
522,1,0,0,0,0,2048,0
49,1,0,0,0,0,1024,1
403,1,0,0,0,0,2048,0
41,0,1,1,0,0,1024,1
692,1,0,0,0,0,2048,0
204,1,0,0,1,0,2048,0
658,1,0,0,0,0,4096,0
431,1,0,0,0,0,2048,0
619,1,0,0,0,0,2048,0
584,1,0,0,1,0,2048,0
358,1,0,0,0,0,2048,0
53,0,1,1,1,0,1024,1
545,1,0,1,0,0,2048,0
388,1,0,0,0,0,2048,0
76,1,1,1,0,1,1024,1
592,1,0,0,0,0,2048,0
574,1,0,0,0,0,4096,0
69,0,0,1,1,1,1024,1
649,1,0,0,0,0,2048,0
107,1,0,0,0,0,2048,0
567,1,0,0,0,0,4096,0
36,1,0,1,1,1,2048,1
535,1,0,0,0,0,2048,0
429,1,0,0,0,0,2048,0
52,0,1,1,1,1,2048,1
15,0,0,0,1,1,1024,1
205,1,0,0,0,0,2048,0
163,1,0,0,0,0,2048,0
358,1,0,0,0,0,2048,0
726,1,0,0,0,0,2048,0
205,1,0,0,0,0,2048,0
253,1,0,0,0,0,2048,0
21,0,1,0,1,0,1024,1
15,0,1,0,1,0,2048,1
215,1,0,0,0,0,2048,0
42,1,1,1,0,1,1024,1
464,1,0,0,0,0,2048,0
15,0,1,0,1,1,1024,1
174,1,0,0,0,0,4096,0
472,1,0,0,0,0,2048,0
27,0,1,1,1,1,1024,1
552,1,0,1,0,0,2048,0
540,1,0,0,0,0,2048,0
607,1,0,0,0,0,4096,0
639,1,0,0,0,0,2048,0
205,1,0,0,0,0,4096,0
703,1,0,0,0,0,2048,0
97,1,0,0,0,0,4096,0
307,1,0,0,0,0,2048,0
679,1,0,0,0,0,2048,0
493,1,0,0,0,0,2048,0
42,0,0,1,0,1,1024,1
393,1,0,0,0,0,2048,0
556,1,0,0,0,0,4096,0
177,1,0,0,0,0,2048,0
75,0,0,0,1,1,2048,1
397,1,0,0,0,0,2048,0
523,1,0,0,0,0,2048,0
253,1,0,1,0,0,4096,0
328,1,0,0,0,0,2048,0
406,1,0,0,0,0,2048,0
21,0,0,1,1,0,1024,1
70,0,1,0,1,1,1024,1
160,1,0,0,0,0,2048,0
264,1,0,0,0,0,2048,0
69,1,0,0,1,1,1024,1
337,1,0,0,0,0,2048,0
282,1,0,0,0,0,2048,0
508,1,0,0,0,0,2048,0
414,1,0,0,0,0,2048,0
395,1,0,0,1,0,4096,0
293,1,0,0,0,0,2048,0
3,0,1,1,1,1,1024,1
73,0,1,1,1,0,1024,1
536,1,0,0,0,0,2048,0
580,1,0,0,0,0,2048,0
63,0,1,1,1,0,1024,1
55,0,1,1,0,1,1024,1
217,1,0,0,0,0,4096,0
34,0,1,1,1,0,2048,1
69,0,1,0,1,0,2048,1
594,1,0,0,1,0,4096,0
204,1,0,0,0,0,2048,0
