query_name_length,query_type,response_code,subdomain_count,is_tunneling
73,NS,REFUSED,4,0
27,MX,NXDOMAIN,9,0
87,A,NOERROR,0,0
55,A,NOERROR,0,0
36,A,NOERROR,6,0
30,A,NOERROR,2,0
54,TXT,NOERROR,4,1
98,TXT,NOERROR,6,1
83,MX,NOERROR,2,0
42,AAAA,REFUSED,1,0
86,A,NOERROR,1,0
56,A,NOERROR,6,0
55,AAAA,NOERROR,9,0
60,MX,NOERROR,3,0
92,A,NOERROR,1,0
81,A,NOERROR,2,0
27,A,NOERROR,5,0
20,AAAA,NOERROR,7,0
29,TXT,NOERROR,1,0
65,A,NOERROR,4,0
86,A,NOERROR,4,0
74,A,NOERROR,9,0
50,A,NOERROR,8,0
30,MX,NOERROR,7,0
98,A,NOERROR,0,0
30,TXT,NOERROR,2,0
56,A,NOERROR,5,0
18,AAAA,NOERROR,7,0
6,AAAA,NOERROR,7,0
11,AAAA,NXDOMAIN,1,0
42,A,NOERROR,8,0
32,A,NOERROR,6,0
90,A,NOERROR,0,0
17,A,NOERROR,2,0
22,A,NOERROR,1,0
12,A,NOERROR,9,0
45,A,NXDOMAIN,1,0
63,A,REFUSED,4,0
37,A,NOERROR,5,0
8,TXT,NOERROR,7,0
59,MX,NOERROR,7,0
40,NS,NXDOMAIN,3,0
96,CNAME,NOERROR,5,0
98,A,NOERROR,8,0
70,A,NOERROR,2,0
49,MX,NOERROR,5,0
72,A,NOERROR,0,0
16,A,NOERROR,5,0
41,A,NXDOMAIN,2,0
37,A,NOERROR,4,0
27,A,NOERROR,7,0
6,A,NOERROR,8,0
21,A,NOERROR,5,0
39,A,NXDOMAIN,1,0
82,CNAME,REFUSED,1,0
80,A,NXDOMAIN,5,0
64,MX,NOERROR,8,0
18,MX,NXDOMAIN,4,0
9,A,NOERROR,3,0
93,TXT,NOERROR,7,1
76,A,NOERROR,2,0
42,A,NOERROR,0,0
29,A,NOERROR,1,0
82,A,NOERROR,6,0
55,A,NOERROR,2,0
76,AAAA,NOERROR,0,0
98,TXT,NOERROR,5,1
61,A,NOERROR,6,0
37,A,NOERROR,9,0
9,TXT,NOERROR,5,0
17,A,NXDOMAIN,7,0
56,A,NOERROR,4,0
33,A,NOERROR,1,0
31,AAAA,NOERROR,3,0
30,A,NOERROR,9,0
42,A,NOERROR,9,0
50,AAAA,NXDOMAIN,7,0
66,A,NOERROR,7,0
64,A,NOERROR,3,0
9,CNAME,NOERROR,9,0
96,A,NOERROR,2,0
33,A,NXDOMAIN,6,0
5,A,REFUSED,3,0
58,MX,NOERROR,5,0
59,A,NOERROR,8,0
57,A,NXDOMAIN,4,0
30,A,NOERROR,8,0
94,CNAME,NOERROR,1,0
95,AAAA,NOERROR,2,0
58,A,NOERROR,5,0
92,A,NOERROR,5,0
30,A,NOERROR,6,0
85,NS,NOERROR,5,0
90,A,REFUSED,0,0
75,A,NOERROR,6,0
55,A,NXDOMAIN,0,0
49,A,NXDOMAIN,2,0
22,A,NOERROR,1,0
70,A,NOERROR,5,0
55,A,NOERROR,6,0
7,A,NOERROR,1,0
91,NS,NXDOMAIN,6,1
97,A,NOERROR,2,0
92,A,NOERROR,7,0
58,A,NOERROR,2,0
96,A,NOERROR,7,0
82,AAAA,NXDOMAIN,3,0
41,A,NOERROR,6,0
52,A,NOERROR,0,0
27,MX,NOERROR,2,0
40,AAAA,NOERROR,0,0
51,AAAA,NOERROR,1,0
71,A,NOERROR,4,0
41,A,NOERROR,1,0
57,A,NXDOMAIN,5,0
28,A,NOERROR,6,0
85,A,NOERROR,8,0
44,AAAA,NOERROR,8,0
26,MX,REFUSED,9,0
33,A,NOERROR,5,0
22,A,NXDOMAIN,8,0
42,A,NOERROR,5,0
80,A,NOERROR,4,0
31,CNAME,NXDOMAIN,7,0
16,AAAA,NOERROR,9,0
49,MX,NOERROR,9,0
50,A,NOERROR,0,0
55,A,NOERROR,4,0
15,A,NOERROR,0,0
63,A,NOERROR,1,0
59,AAAA,NXDOMAIN,4,0
60,A,NOERROR,3,0
87,A,NOERROR,1,0
77,MX,NOERROR,8,0
44,AAAA,NOERROR,7,0
46,A,NOERROR,1,0
48,NS,NOERROR,2,0
48,MX,SERVFAIL,0,0
78,AAAA,NOERROR,7,0
87,AAAA,NXDOMAIN,6,1
84,MX,NOERROR,8,0
16,A,REFUSED,9,0
51,A,NOERROR,0,0
27,A,NOERROR,6,0
18,A,NOERROR,2,0
52,A,NOERROR,1,0
99,TXT,NXDOMAIN,1,1
63,MX,NOERROR,7,0
64,A,NXDOMAIN,7,1
94,AAAA,NOERROR,7,0
8,MX,NOERROR,1,0
37,TXT,NOERROR,1,0
59,A,REFUSED,6,0
17,A,NXDOMAIN,2,0
43,A,NOERROR,0,0
97,A,NOERROR,7,0
14,A,NOERROR,3,0
9,AAAA,NOERROR,7,0
34,TXT,NOERROR,4,0
29,A,NXDOMAIN,8,0
19,A,NOERROR,9,0
41,MX,NOERROR,5,0
43,TXT,NXDOMAIN,1,0
29,AAAA,NOERROR,7,0
24,MX,NOERROR,2,0
78,A,NOERROR,8,0
7,MX,NXDOMAIN,5,0
51,A,NOERROR,3,0
65,A,NOERROR,1,0
66,NS,NXDOMAIN,2,0
17,A,NOERROR,8,0
72,A,NOERROR,8,0
60,A,NOERROR,8,0
71,NS,NXDOMAIN,8,1
83,AAAA,NOERROR,1,0
92,A,NOERROR,4,0
52,A,NOERROR,4,0
81,TXT,NOERROR,2,1
62,A,NOERROR,7,0
95,TXT,NOERROR,7,1
23,TXT,NOERROR,8,0
17,MX,NOERROR,9,0
67,AAAA,NOERROR,4,0
49,TXT,NOERROR,6,0
46,A,NOERROR,6,0
35,A,NOERROR,6,0
70,A,NOERROR,0,0
21,A,NOERROR,7,0
39,A,NOERROR,6,0
78,A,NXDOMAIN,4,0
97,MX,NOERROR,3,0
72,A,NOERROR,5,0
21,A,NOERROR,9,0
86,TXT,SERVFAIL,3,1
56,MX,NOERROR,0,0
10,A,NXDOMAIN,9,0
91,A,NOERROR,3,0
85,A,NXDOMAIN,6,1
33,AAAA,NOERROR,1,0
51,AAAA,NOERROR,2,0
85,NS,NOERROR,4,0
51,A,NOERROR,5,0
23,A,REFUSED,0,0
62,TXT,NOERROR,2,1
68,TXT,NOERROR,1,1
19,A,NOERROR,8,0
21,A,NOERROR,1,0
75,AAAA,NOERROR,4,0
28,CNAME,NOERROR,8,0
98,A,NOERROR,3,0
13,A,NOERROR,5,0
6,MX,NOERROR,0,0
76,A,NOERROR,1,0
99,AAAA,NOERROR,8,0
37,NS,NXDOMAIN,5,0
55,A,NOERROR,8,0
50,A,NOERROR,5,0
96,AAAA,NOERROR,1,0
6,A,NXDOMAIN,0,0
81,A,NOERROR,1,0
42,A,NOERROR,1,0
19,A,NOERROR,0,0
79,A,NXDOMAIN,8,1
10,AAAA,NOERROR,8,0
80,TXT,NOERROR,3,1
66,AAAA,NOERROR,3,0
84,A,NXDOMAIN,9,1
7,A,NOERROR,1,0
16,A,NOERROR,2,0
23,NS,NOERROR,7,0
97,MX,NOERROR,2,0
48,A,NOERROR,5,0
41,NS,SERVFAIL,2,0
32,A,NOERROR,5,0
67,A,NXDOMAIN,0,0
98,NS,NOERROR,7,0
24,AAAA,NOERROR,3,0
64,A,NXDOMAIN,8,1
40,A,NOERROR,3,0
70,A,NOERROR,6,0
46,NS,NOERROR,2,0
22,AAAA,NOERROR,2,0
30,AAAA,NXDOMAIN,6,0
46,A,SERVFAIL,6,0
41,TXT,NOERROR,5,0
64,A,NOERROR,6,0
93,AAAA,NOERROR,0,0
93,NS,NOERROR,4,0
9,A,NOERROR,7,0
40,NS,NOERROR,9,0
71,A,NOERROR,9,0
80,MX,NOERROR,3,0
12,AAAA,NOERROR,5,0
88,A,NOERROR,4,0
80,A,NXDOMAIN,7,1
32,TXT,NOERROR,3,0
82,A,NOERROR,3,0
30,A,NOERROR,5,0
63,A,NOERROR,9,0
24,NS,SERVFAIL,1,0
93,AAAA,NXDOMAIN,7,1
47,A,NOERROR,3,0
27,A,NOERROR,1,0
12,NS,NOERROR,7,0
33,A,NXDOMAIN,5,0
51,AAAA,NXDOMAIN,9,1
47,AAAA,NOERROR,0,0
30,TXT,NOERROR,7,0
93,AAAA,NOERROR,2,0
35,AAAA,NOERROR,4,0
94,A,NOERROR,5,0
67,NS,NOERROR,8,0
81,A,NOERROR,1,0
8,AAAA,NXDOMAIN,1,0
17,MX,NOERROR,0,0
92,A,NOERROR,4,0
19,AAAA,NOERROR,4,0
23,A,NOERROR,0,0
39,A,NOERROR,2,0
76,AAAA,NOERROR,8,0
7,A,SERVFAIL,1,0
74,CNAME,NXDOMAIN,8,1
16,A,NOERROR,3,0
19,A,NOERROR,1,0
47,A,NOERROR,6,0
84,AAAA,NXDOMAIN,8,1
40,CNAME,NOERROR,4,0
17,A,NOERROR,3,0
56,AAAA,NXDOMAIN,2,0
12,A,NOERROR,1,0
6,A,NOERROR,8,0
98,A,NOERROR,9,0
43,A,NOERROR,7,0
46,A,NXDOMAIN,3,0
72,A,NXDOMAIN,7,1
49,AAAA,SERVFAIL,6,0
26,MX,NXDOMAIN,8,0
30,A,NOERROR,9,0
46,CNAME,NOERROR,9,0
95,MX,NOERROR,2,0
64,AAAA,NXDOMAIN,2,0
40,A,NOERROR,4,0
51,A,NXDOMAIN,0,0
25,A,NOERROR,2,0
96,A,NOERROR,8,0
82,AAAA,NOERROR,8,0
6,A,NOERROR,1,0
71,A,NOERROR,8,0
79,NS,NOERROR,2,0
72,AAAA,NOERROR,6,0
40,A,NXDOMAIN,2,0
77,A,NOERROR,8,0
72,A,NXDOMAIN,4,0
48,A,NOERROR,5,0
76,AAAA,NOERROR,9,0
7,A,NOERROR,1,0
85,NS,NOERROR,3,0
12,A,NOERROR,4,0
81,AAAA,NOERROR,6,0
84,A,NOERROR,6,0
20,A,NOERROR,7,0
88,A,NOERROR,6,0
96,NS,NOERROR,3,0
69,MX,NOERROR,5,0
26,A,NOERROR,0,0
20,A,NOERROR,3,0
27,A,NOERROR,4,0
6,CNAME,NOERROR,2,0
56,A,NXDOMAIN,1,0
59,A,NOERROR,5,0
64,TXT,NOERROR,0,1
46,A,NOERROR,7,0
34,AAAA,NOERROR,6,0
56,MX,NOERROR,2,0
70,A,NOERROR,3,0
86,AAAA,NXDOMAIN,8,1
58,A,NOERROR,0,0
84,MX,NOERROR,2,0
45,MX,NOERROR,1,0
12,A,NOERROR,3,0
49,A,SERVFAIL,3,0
22,A,NXDOMAIN,1,0
64,A,NOERROR,4,0
87,A,NOERROR,1,0
35,AAAA,REFUSED,2,0
13,A,NOERROR,2,0
11,AAAA,NOERROR,3,0
8,NS,NXDOMAIN,6,0
56,A,NOERROR,5,0
54,A,NXDOMAIN,2,0
11,A,NOERROR,6,0
90,NS,NOERROR,4,0
83,A,NOERROR,7,0
43,AAAA,NOERROR,9,0
89,A,NOERROR,3,0
85,A,NOERROR,4,0
56,A,NOERROR,3,0
38,A,NOERROR,7,0
97,A,NOERROR,4,0
46,TXT,SERVFAIL,0,0
13,CNAME,NXDOMAIN,0,0
14,CNAME,NOERROR,7,0
25,MX,NOERROR,7,0
63,A,NOERROR,0,0
64,A,NXDOMAIN,4,0
36,NS,NOERROR,7,0
81,A,NOERROR,0,0
55,A,NOERROR,4,0
24,AAAA,NOERROR,3,0
15,NS,NXDOMAIN,2,0
32,A,NOERROR,4,0
98,MX,NOERROR,9,0
42,A,NOERROR,0,0
99,MX,NOERROR,8,0
70,AAAA,NOERROR,3,0
72,MX,NOERROR,9,0
66,TXT,NOERROR,3,1
16,A,NOERROR,4,0
36,AAAA,NXDOMAIN,1,0
15,A,NOERROR,1,0
59,A,NOERROR,9,0
93,A,NOERROR,3,0
89,AAAA,NOERROR,0,0
25,A,NXDOMAIN,6,0
43,MX,NXDOMAIN,1,0
25,MX,NOERROR,7,0
50,AAAA,NOERROR,5,0
26,NS,NXDOMAIN,1,0
6,A,NOERROR,1,0
99,A,NOERROR,5,0
47,MX,NOERROR,2,0
67,A,NOERROR,6,0
29,MX,NOERROR,9,0
62,A,NOERROR,4,0
7,NS,NOERROR,9,0
93,A,NOERROR,6,0
95,A,NOERROR,8,0
40,A,NOERROR,5,0
16,AAAA,NOERROR,1,0
57,A,NOERROR,2,0
99,A,NXDOMAIN,4,0
62,A,NOERROR,3,0
14,TXT,NOERROR,4,0
89,A,NOERROR,9,0
42,A,NOERROR,3,0
21,A,NOERROR,2,0
92,A,NOERROR,3,0
8,A,NOERROR,1,0
23,A,NXDOMAIN,0,0
67,A,NOERROR,9,0
35,MX,NOERROR,3,0
98,A,NOERROR,1,0
67,A,NOERROR,8,0
49,A,NOERROR,3,0
51,A,NOERROR,6,0
13,NS,NOERROR,3,0
65,NS,NOERROR,0,0
98,MX,NOERROR,0,0
55,CNAME,NOERROR,9,0
73,MX,NOERROR,0,0
25,A,NOERROR,5,0
94,A,NOERROR,1,0
39,A,NOERROR,5,0
45,A,NOERROR,8,0
35,CNAME,NOERROR,4,0
34,A,NOERROR,5,0
96,A,NOERROR,7,0
14,A,NOERROR,9,0
93,MX,NOERROR,3,0
60,A,NOERROR,8,0
25,A,NOERROR,6,0
74,TXT,NOERROR,7,1
79,NS,NOERROR,6,0
25,A,NOERROR,8,0
41,NS,NOERROR,2,0
91,A,NOERROR,2,0
93,CNAME,SERVFAIL,8,0
37,A,NOERROR,9,0
75,AAAA,NOERROR,7,0
65,A,NOERROR,8,0
43,AAAA,NOERROR,5,0
74,MX,NOERROR,4,0
6,AAAA,NOERROR,9,0
20,A,NOERROR,5,0
80,A,NOERROR,9,0
68,MX,NOERROR,6,0
25,A,NOERROR,3,0
90,A,NOERROR,5,0
96,A,NXDOMAIN,7,1
62,MX,NOERROR,1,0
29,A,NOERROR,0,0
46,A,NOERROR,3,0
27,MX,NOERROR,2,0
73,NS,NOERROR,9,0
12,A,NOERROR,3,0
89,A,NOERROR,7,0
86,A,NOERROR,1,0
11,AAAA,NOERROR,1,0
44,A,NOERROR,6,0
12,TXT,NOERROR,4,0
8,MX,SERVFAIL,2,0
36,A,NOERROR,6,0
20,NS,NOERROR,4,0
25,AAAA,NOERROR,5,0
99,AAAA,NOERROR,4,0
29,A,NOERROR,3,0
38,A,NOERROR,2,0
65,A,NOERROR,5,0
54,A,NOERROR,8,0
15,CNAME,NOERROR,8,0
89,A,NXDOMAIN,9,1
25,A,NOERROR,0,0
89,A,NXDOMAIN,2,0
51,A,NOERROR,6,0
52,A,NOERROR,2,0
37,A,NOERROR,1,0
44,A,NOERROR,5,0
77,AAAA,REFUSED,6,0
91,A,NOERROR,9,0
29,A,NOERROR,4,0
61,A,NOERROR,3,0
80,A,NXDOMAIN,1,0
10,AAAA,NOERROR,1,0
50,A,NXDOMAIN,7,0
66,A,SERVFAIL,3,0
29,A,NOERROR,5,0
91,A,NOERROR,2,0
7,MX,NXDOMAIN,3,0
49,NS,NOERROR,6,0
23,TXT,NOERROR,5,0
57,A,NOERROR,8,0
68,A,NOERROR,4,0
63,AAAA,NOERROR,3,0
96,TXT,NOERROR,5,1
45,NS,NOERROR,0,0
52,A,NOERROR,1,0
89,A,NOERROR,3,0
71,A,NOERROR,8,0
65,A,NXDOMAIN,1,0
92,NS,NOERROR,6,0
51,A,NXDOMAIN,8,1
23,TXT,NOERROR,7,0
25,AAAA,NOERROR,2,0
8,AAAA,NOERROR,3,0
26,MX,SERVFAIL,1,0
92,AAAA,NOERROR,0,0
76,AAAA,NOERROR,8,0
86,A,NOERROR,9,0
31,A,NOERROR,0,0
61,A,NOERROR,7,0
18,AAAA,NOERROR,7,0
53,A,NOERROR,0,0
66,MX,NXDOMAIN,0,0
94,A,NOERROR,9,0
58,CNAME,NOERROR,4,0
53,AAAA,NOERROR,2,0
63,A,NXDOMAIN,2,0
15,A,NOERROR,0,0
44,A,NOERROR,7,0
65,AAAA,NOERROR,0,0
49,AAAA,SERVFAIL,4,0
12,TXT,NOERROR,6,0
53,AAAA,NOERROR,1,0
72,A,NOERROR,1,0
23,A,NOERROR,0,0
80,A,NOERROR,6,0
6,AAAA,NOERROR,1,0
55,A,NOERROR,1,0
55,CNAME,NOERROR,2,0
88,AAAA,NOERROR,5,0
7,A,NOERROR,0,0
45,A,NOERROR,0,0
59,A,NOERROR,4,0
66,A,NOERROR,6,0
28,AAAA,NXDOMAIN,5,0
22,A,NOERROR,8,0
57,TXT,NOERROR,1,1
36,MX,NXDOMAIN,8,0
67,A,NXDOMAIN,9,1
61,A,NOERROR,7,0
43,A,NOERROR,6,0
72,A,NOERROR,3,0
23,A,NOERROR,2,0
47,A,NOERROR,0,0
42,MX,NOERROR,3,0
60,NS,NOERROR,3,0
54,A,NOERROR,2,0
79,A,NOERROR,5,0
68,A,NOERROR,5,0
63,A,NOERROR,9,0
41,NS,NOERROR,6,0
10,AAAA,NXDOMAIN,0,0
33,A,SERVFAIL,3,0
21,A,NOERROR,3,0
73,A,NOERROR,1,0
90,A,NXDOMAIN,2,0
46,MX,NOERROR,9,0
89,A,NOERROR,6,0
72,A,NOERROR,7,0
17,AAAA,NOERROR,2,0
21,AAAA,NOERROR,5,0
28,AAAA,NOERROR,4,0
12,A,NOERROR,3,0
23,A,NOERROR,1,0
15,A,NOERROR,5,0
25,AAAA,NOERROR,4,0
85,AAAA,NOERROR,9,0
16,NS,NXDOMAIN,9,0
52,A,NOERROR,5,0
59,A,NOERROR,0,0
66,MX,NOERROR,8,0
85,TXT,REFUSED,1,1
96,MX,NOERROR,3,0
11,NS,NOERROR,8,0
76,TXT,NOERROR,0,1
76,A,NXDOMAIN,4,0
17,NS,NOERROR,6,0
84,MX,NXDOMAIN,5,0
47,TXT,NOERROR,4,0
84,MX,NOERROR,2,0
60,A,NOERROR,2,0
23,A,REFUSED,7,0
75,A,NOERROR,3,0
29,AAAA,NOERROR,7,0
12,MX,NOERROR,0,0
40,AAAA,NOERROR,6,0
13,AAAA,NOERROR,3,0
34,A,NOERROR,7,0
7,AAAA,NOERROR,1,0
49,NS,NOERROR,1,0
44,A,NXDOMAIN,5,0
64,A,NOERROR,7,0
35,A,NOERROR,7,0
91,CNAME,NOERROR,5,0
97,A,NXDOMAIN,0,0
34,NS,NOERROR,4,0
23,AAAA,NOERROR,0,0
59,A,NOERROR,9,0
76,A,NOERROR,1,0
18,A,NOERROR,4,0
28,A,NOERROR,3,0
81,CNAME,NOERROR,6,0
35,A,NOERROR,1,0
79,A,NOERROR,8,0
99,A,NOERROR,1,0
90,AAAA,NOERROR,1,0
12,A,NOERROR,8,0
68,A,NOERROR,0,0
23,A,NXDOMAIN,3,0
86,TXT,NOERROR,0,1
74,A,SERVFAIL,4,0
21,AAAA,NOERROR,0,0
64,AAAA,NOERROR,9,0
51,A,NOERROR,4,0
37,A,NOERROR,3,0
51,CNAME,NOERROR,3,0
87,AAAA,REFUSED,0,0
52,A,NXDOMAIN,2,0
51,A,NOERROR,2,0
75,MX,NOERROR,3,0
35,AAAA,NOERROR,5,0
79,AAAA,NOERROR,3,0
91,AAAA,NOERROR,7,0
12,AAAA,NOERROR,5,0
48,A,NOERROR,5,0
69,TXT,NOERROR,2,1
17,A,NOERROR,9,0
57,A,NXDOMAIN,4,0
28,MX,NOERROR,9,0
39,A,NOERROR,0,0
16,A,NOERROR,8,0
64,A,NOERROR,6,0
32,A,NOERROR,9,0
80,A,NOERROR,8,0
38,A,NOERROR,4,0
29,MX,NOERROR,3,0
61,A,NOERROR,4,0
81,NS,NXDOMAIN,8,1
36,TXT,NOERROR,8,0
76,A,NOERROR,7,0
71,AAAA,NXDOMAIN,1,0
32,A,NOERROR,9,0
8,NS,NXDOMAIN,4,0
60,NS,NOERROR,5,0
21,A,NOERROR,9,0
61,AAAA,NOERROR,2,0
15,NS,NOERROR,3,0
99,AAAA,NOERROR,0,0
51,CNAME,NOERROR,8,0
51,A,NOERROR,9,0
9,A,NOERROR,7,0
58,A,NOERROR,1,0
19,A,NXDOMAIN,4,0
10,A,NXDOMAIN,1,0
82,A,NOERROR,2,0
98,TXT,NOERROR,0,1
85,NS,NOERROR,5,0
45,A,SERVFAIL,7,0
68,NS,NOERROR,4,0
93,CNAME,NOERROR,5,0
86,NS,NOERROR,2,0
33,CNAME,NXDOMAIN,4,0
84,NS,NOERROR,9,0
12,MX,NOERROR,0,0
47,AAAA,NOERROR,7,0
90,TXT,NOERROR,4,1
78,MX,NOERROR,9,0
47,A,NXDOMAIN,7,0
70,A,NXDOMAIN,5,0
31,A,NOERROR,9,0
13,A,REFUSED,1,0
5,A,NOERROR,0,0
71,A,NOERROR,2,0
95,A,NOERROR,3,0
97,A,NOERROR,3,0
69,A,NOERROR,3,0
91,A,NOERROR,8,0
9,A,NOERROR,1,0
45,NS,NOERROR,7,0
55,A,NOERROR,2,0
23,A,NOERROR,6,0
75,MX,NOERROR,3,0
27,A,NOERROR,3,0
97,A,NOERROR,6,0
50,A,NOERROR,3,0
19,TXT,NOERROR,7,0
31,MX,NOERROR,1,0
97,MX,NOERROR,2,0
38,TXT,NOERROR,7,0
27,CNAME,NOERROR,4,0
66,A,NOERROR,5,0
74,A,SERVFAIL,6,0
42,A,NOERROR,2,0
90,AAAA,SERVFAIL,5,0
40,AAAA,NXDOMAIN,6,0
62,A,NOERROR,8,0
31,A,NOERROR,5,0
43,A,NOERROR,5,0
25,A,NOERROR,6,0
35,MX,NOERROR,1,0
13,A,NOERROR,5,0
21,AAAA,NOERROR,8,0
25,A,NOERROR,8,0
55,A,NXDOMAIN,7,1
70,AAAA,NOERROR,5,0
5,A,NOERROR,8,0
85,A,NOERROR,8,0
17,A,NOERROR,4,0
7,A,NOERROR,6,0
68,A,NOERROR,3,0
36,A,NXDOMAIN,0,0
87,MX,NOERROR,9,0
37,NS,NOERROR,3,0
92,AAAA,NXDOMAIN,8,1
53,A,NOERROR,4,0
31,A,NOERROR,2,0
23,A,NOERROR,9,0
93,A,NOERROR,6,0
6,TXT,NOERROR,4,0
76,A,NOERROR,2,0
20,NS,NOERROR,3,0
84,A,NOERROR,4,0
79,A,NOERROR,5,0
9,AAAA,NOERROR,5,0
63,A,NOERROR,8,0
23,AAAA,NOERROR,6,0
72,NS,NOERROR,6,0
83,A,NOERROR,5,0
97,A,NOERROR,1,0
67,A,REFUSED,9,0
66,A,NOERROR,5,0
62,A,NOERROR,4,0
86,AAAA,NOERROR,0,0
80,A,NOERROR,1,0
93,AAAA,NOERROR,7,0
78,AAAA,NOERROR,6,0
43,A,NXDOMAIN,3,0
95,A,NOERROR,2,0
88,A,NOERROR,4,0
38,AAAA,NOERROR,9,0
77,AAAA,NOERROR,8,0
63,A,NOERROR,3,0
69,A,NOERROR,4,0
83,A,NXDOMAIN,4,0
26,AAAA,NOERROR,0,0
49,A,NOERROR,3,0
87,NS,NOERROR,9,0
36,AAAA,SERVFAIL,0,0
78,A,NOERROR,2,0
89,CNAME,NOERROR,3,0
97,A,NOERROR,2,0
96,AAAA,NOERROR,9,0
54,AAAA,NOERROR,0,0
27,A,NXDOMAIN,0,0
