hour_of_day,log_level,event_frequency,unique_ips,failed_auth_count,avg_response_time_ms,error_rate,is_anomaly
18,WARNING,29,25,2,301,0.019689210685114977,0
12,ERROR,23,25,2,403,0.029616112831520703,0
16,INFO,47,17,2,400,0.028049078462915412,0
12,ERROR,9,5,1,434,0.027596295324707705,0
18,INFO,8,25,2,468,0.028281398702939144,0
10,INFO,16,4,4,223,0.015958891849765667,0
22,WARNING,436,132,60,7113,0.24138278641796163,1
11,INFO,29,16,1,360,0.02661426924731879,0
0,WARNING,233,314,84,3496,0.33100636127055943,1
4,INFO,168,318,93,7895,0.799369290363313,1
8,DEBUG,12,16,1,155,0.03585372868804396,0
3,WARNING,340,350,45,4387,0.7122663734538892,1
13,INFO,10,29,4,113,0.009733698919124035,0
15,INFO,14,20,0,325,0.04991160208896296,0
8,DEBUG,4,10,3,425,0.03129594966801555,0
15,ERROR,47,11,3,334,0.01635580871636897,0
14,DEBUG,20,15,1,280,0.019630035325831453,0
8,INFO,41,12,1,476,0.0459812301178644,0
16,DEBUG,39,23,0,232,0.02155621229218359,0
18,DEBUG,7,16,1,122,0.012054798619361762,0
10,DEBUG,30,23,2,463,0.017184289312474576,0
9,INFO,41,18,3,82,0.026508954297209033,0
14,INFO,24,7,2,195,0.0078850293788843,0
18,DEBUG,10,29,4,482,0.002548908907193148,0
10,INFO,45,14,1,230,0.020182691642883218,0
1,DEBUG,370,316,59,6268,0.5545756031013742,1
17,WARNING,36,22,4,315,0.04635518110548604,0
10,INFO,17,28,4,370,0.04161597219691588,0
13,DEBUG,21,6,0,77,0.00852082055183354,0
10,INFO,46,11,4,402,0.0024390452986855107,0
12,ERROR,3,13,2,428,0.026394199839485485,0
16,INFO,1,22,4,451,0.03384019996400057,0
14,INFO,18,28,0,412,0.03279680574228956,0
9,INFO,2,29,3,110,0.013528161756607593,0
8,INFO,40,18,1,442,0.01690694039689856,0
14,ERROR,48,12,0,269,0.04837953922645654,0
4,CRITICAL,319,138,30,9384,0.3907386570797371,1
18,INFO,32,22,2,136,0.0324124347821981,0
14,INFO,19,9,3,203,0.02503334560616385,0
13,INFO,20,18,2,92,0.042738891924430485,0
14,INFO,42,25,0,82,0.04188442593777603,0
11,ERROR,49,21,2,325,0.0324460238673298,0
10,INFO,49,15,3,65,0.04658597631233763,0
19,INFO,7,9,3,388,0.010387009403108155,0
23,DEBUG,422,76,96,5385,0.6821438695348239,1
10,INFO,7,26,4,167,0.011723400169240134,0
10,ERROR,27,2,2,60,0.005125477059730355,0
11,INFO,21,14,2,157,0.03860208115244549,0
15,DEBUG,35,21,2,153,0.030635105472410624,0
9,DEBUG,24,11,2,367,0.005196132457390596,0
11,INFO,32,13,4,160,0.04944177815121737,0
18,WARNING,12,2,0,203,0.004186316862264678,0
10,CRITICAL,23,21,0,168,0.034363822782870444,0
14,WARNING,36,7,0,50,0.03020225288099502,0
9,INFO,49,28,4,279,0.020710049837862832,0
8,INFO,29,15,0,317,0.04304406636041271,0
17,INFO,3,7,0,362,0.0174752849387081,0
8,INFO,43,12,4,122,0.04114710156514362,0
13,INFO,8,27,1,355,0.0296673510741252,0
10,INFO,34,7,2,377,0.019625827007662335,0
4,ERROR,404,336,72,2603,0.2740567617949668,1
15,DEBUG,36,15,1,261,0.013052780370172146,0
12,DEBUG,48,7,3,196,0.0008597323628277975,0
12,WARNING,46,22,0,145,0.03103872717396863,0
19,WARNING,32,23,1,168,0.022722561704136862,0
9,INFO,7,21,0,438,0.01686023167977645,0
15,DEBUG,10,28,1,336,0.008775107570861635,0
17,WARNING,12,2,2,71,4.725505526135821e-05,0
4,ERROR,195,260,90,2321,0.6248452281106815,1
17,INFO,23,2,4,125,0.042986181947084146,0
16,INFO,11,19,2,132,0.017577746705671266,0
5,ERROR,487,435,25,1839,0.6470154385754554,1
8,INFO,12,2,2,115,0.02990777503282499,0
8,WARNING,7,29,0,309,0.012358808711842573,0
0,WARNING,464,491,48,6369,0.2546789099320419,1
11,DEBUG,10,15,1,200,0.0332880237675351,0
19,DEBUG,7,24,1,491,0.04381404665434423,0
1,WARNING,181,445,21,9051,0.5467754490988486,1
12,DEBUG,7,12,3,487,0.043466532225571924,0
19,DEBUG,24,29,2,492,0.04984448990277444,0
14,DEBUG,23,29,1,374,0.013113034365020083,0
17,DEBUG,25,19,0,56,0.03632763780778052,0
14,INFO,44,15,2,125,0.028066135431568353,0
2,DEBUG,226,366,44,9755,0.38240098246889104,1
9,INFO,33,25,3,252,0.01447575697811157,0
15,INFO,37,10,3,95,0.04243995399769238,0
9,DEBUG,42,10,1,255,0.03946043604714909,0
16,INFO,39,3,1,496,0.041070537009997285,0
12,CRITICAL,7,9,2,344,0.04984882112076447,0
16,WARNING,30,23,4,244,0.015447055073382933,0
4,DEBUG,338,87,14,7568,0.664906213174028,1
15,INFO,45,24,0,149,0.010478601102133262,0
15,INFO,46,22,4,295,0.004532796167310388,0
11,DEBUG,37,7,1,152,0.0005127563774167399,0
11,DEBUG,21,19,4,265,0.01171474292356054,0
22,WARNING,195,213,77,4879,0.47659815752494433,1
2,ERROR,94,415,74,1024,0.5838174741176909,1
11,INFO,21,11,0,271,0.04649656484642359,0
13,INFO,40,6,0,213,0.015653650507237805,0
10,DEBUG,20,27,3,436,0.03296352613563942,0
9,INFO,34,19,3,401,0.04926807448282628,0
15,INFO,8,7,0,119,0.014697149194444897,0
9,INFO,32,16,0,233,0.04876579391922766,0
15,CRITICAL,30,26,3,156,0.0381325688734056,0
14,INFO,29,22,3,117,0.04062520276990444,0
10,ERROR,5,26,0,117,0.028434460814865704,0
22,ERROR,205,341,28,1183,0.23267616279546077,1
13,INFO,12,24,0,482,0.03050030309851894,0
17,INFO,39,24,1,300,0.024238850861426756,0
12,INFO,27,22,1,284,0.042709133107481305,0
2,ERROR,134,229,47,1991,0.2285971085801888,1
18,WARNING,47,14,3,352,0.019797873493597663,0
19,INFO,10,26,2,129,0.0020739405910095987,0
12,DEBUG,36,29,0,73,0.046302525797903636,0
14,INFO,31,16,4,89,0.03911735607781139,0
13,WARNING,16,26,4,201,0.04288956595623376,0
18,INFO,39,6,0,362,0.0011850134404147172,0
14,INFO,45,1,1,415,0.043703439169335986,0
16,DEBUG,36,13,3,201,0.023444368358641915,0
10,INFO,26,6,3,279,0.04551846768256304,0
17,DEBUG,44,6,1,374,0.03460644477643334,0
14,DEBUG,20,6,0,368,0.021282516259636283,0
17,INFO,34,12,4,196,0.0061858784750047635,0
10,INFO,37,9,3,367,0.02788179329313875,0
9,INFO,8,20,1,335,0.03544622717034038,0
19,WARNING,4,27,3,138,0.04520287790026474,0
14,DEBUG,29,7,1,498,0.044265495532842786,0
11,INFO,31,27,3,435,0.012932304874192752,0
8,INFO,2,3,4,249,0.003753180390510147,0
13,DEBUG,25,24,3,373,0.023487093933802716,0
18,INFO,38,15,0,297,0.013821503396419344,0
13,INFO,3,2,2,273,0.015871207541877874,0
13,INFO,46,18,1,287,0.033370877426048474,0
9,WARNING,42,21,2,439,0.03733018586483641,0
0,ERROR,442,473,97,3376,0.4491221180083419,1
10,CRITICAL,5,1,4,241,0.04086114657949966,0
19,INFO,22,11,2,290,0.002173105834290218,0
9,DEBUG,16,3,4,146,0.04826942818844678,0
3,ERROR,117,98,85,4208,0.3639143293010769,1
23,WARNING,126,97,41,4930,0.597299431865665,1
13,INFO,9,12,1,295,0.03160235427260766,0
12,INFO,49,6,1,201,0.011269862820944243,0
17,INFO,12,24,0,277,0.03389187033644482,0
17,DEBUG,47,7,0,180,0.013122756125423447,0
12,INFO,42,17,0,96,0.03509008330505397,0
16,DEBUG,4,17,0,278,0.04089002924117388,0
12,INFO,49,4,2,137,0.04501095572162003,0
22,ERROR,162,417,92,3291,0.3717706809780855,1
1,CRITICAL,302,194,23,1691,0.3215956648881261,1
18,DEBUG,42,26,3,401,0.023253711734726398,0
11,INFO,43,17,0,489,0.0122941744313599,0
17,INFO,33,11,4,102,0.03657737742619676,0
8,WARNING,42,3,1,257,0.014725657787776514,0
3,ERROR,294,412,24,7398,0.7886780199124692,1
0,INFO,80,128,40,5567,0.7870500176583712,1
17,INFO,17,2,3,321,0.019885823804465432,0
10,INFO,12,16,4,309,0.03730134297699552,0
14,INFO,11,16,1,444,0.04069505477025398,0
14,WARNING,17,27,4,73,0.04173129124438224,0
23,WARNING,255,405,66,1904,0.4089822543802122,1
15,ERROR,41,8,1,208,0.0018894759282746755,0
14,DEBUG,6,7,0,355,0.008918520498251448,0
8,ERROR,35,10,1,393,0.009766360159945848,0
15,WARNING,6,29,4,425,0.02518973954771424,0
9,INFO,32,24,3,137,0.04579288004427909,0
15,INFO,11,4,1,300,0.006514139936106073,0
10,DEBUG,43,9,1,423,0.0016834590597433752,0
17,DEBUG,39,5,1,137,2.1426759306858445e-05,0
14,DEBUG,13,7,1,405,0.04502954017926181,0
13,DEBUG,13,4,4,209,0.04110650439321294,0
12,INFO,39,1,0,128,0.04814955593499309,0
18,DEBUG,46,27,3,364,0.035016574598649215,0
17,WARNING,34,12,1,280,0.030533701936484692,0
18,INFO,3,16,3,61,0.0061593146944678104,0
9,INFO,32,16,4,322,0.028783655686383136,0
9,INFO,4,8,0,282,0.039540467740223004,0
19,INFO,40,25,1,155,0.04346676192300948,0
8,DEBUG,1,13,0,435,0.04350498610080097,0
16,INFO,9,9,1,472,0.015174824371313228,0
18,INFO,49,10,1,355,0.009498225963638252,0
15,INFO,7,8,2,356,0.007422163360845335,0
15,DEBUG,27,1,3,464,0.03220304056051231,0
2,CRITICAL,202,171,32,6967,0.3023314238149293,1
12,DEBUG,22,5,3,202,0.04353010640820257,0
5,ERROR,271,496,89,2067,0.4759134609796479,1
13,INFO,8,28,3,362,0.00034680966378899947,0
9,INFO,5,16,0,461,0.029375060916397352,0
17,WARNING,49,8,1,350,0.03165817280982988,0
12,INFO,30,1,1,331,0.0453055011114101,0
13,INFO,28,21,1,245,0.02674165619014727,0
16,DEBUG,27,3,1,78,0.0025858037131340217,0
17,WARNING,22,23,1,128,0.034171131901527325,0
8,INFO,30,6,1,232,0.01747503948755183,0
17,DEBUG,37,12,4,275,0.025478014870931834,0
10,INFO,7,15,4,430,0.011964318490803046,0
19,DEBUG,30,17,1,402,0.04302271743392497,0
2,DEBUG,83,74,12,5445,0.7988966543591907,1
1,CRITICAL,294,403,17,5606,0.27440036817502855,1
0,ERROR,287,244,89,3398,0.3837246271424455,1
8,DEBUG,5,21,0,54,0.028252864286802244,0
14,INFO,22,17,4,363,0.015076716045824346,0
5,CRITICAL,93,305,48,9870,0.26733905707464944,1
13,DEBUG,39,12,4,494,0.03642947408201135,0
2,ERROR,64,484,56,3763,0.737275050224268,1
22,ERROR,142,379,69,3476,0.5463078137272221,1
22,WARNING,432,422,17,9987,0.6474286132174718,1
10,INFO,39,28,2,170,0.03149978152622113,0
10,DEBUG,17,25,2,80,0.04143695083069904,0
23,ERROR,264,215,72,1522,0.5364616875486075,1
11,WARNING,6,15,1,63,0.049043967517807915,0
10,DEBUG,41,5,1,339,0.031180947505415814,0
9,WARNING,17,23,0,102,0.049102957262317344,0
5,ERROR,158,401,15,1019,0.36634348880215,1
13,INFO,23,18,0,150,0.03343491962759862,0
10,INFO,30,1,2,70,0.037979386850747594,0
16,DEBUG,13,16,0,342,0.040190848120485394,0
11,WARNING,30,28,1,457,0.0439204919162495,0
1,ERROR,220,324,38,6468,0.508139786757273,1
15,INFO,20,13,4,369,0.02297244422562002,0
14,INFO,6,20,4,399,0.012692774979632405,0
0,ERROR,269,256,75,2685,0.6141772345763357,1
17,WARNING,19,22,4,407,0.04599318779571898,0
14,INFO,6,16,3,322,0.04315299457248527,0
17,WARNING,34,3,2,351,0.018115282454320165,0
18,INFO,28,18,1,277,0.021163078323065722,0
12,DEBUG,13,29,4,208,0.014712154200234417,0
14,WARNING,10,23,3,99,0.031101852343034083,0
11,INFO,41,24,1,227,0.018002042591859346,0
5,ERROR,337,485,89,9413,0.5343656332899518,1
23,CRITICAL,378,327,52,8960,0.6341449032924181,1
19,DEBUG,18,28,0,383,0.011006120420237043,0
10,INFO,22,26,2,247,0.02228794219678846,0
14,DEBUG,14,13,2,271,0.03675989739073295,0
19,INFO,36,24,4,196,0.022687185842371616,0
17,WARNING,8,2,0,483,0.028603654170594003,0
16,ERROR,12,3,0,239,0.045703174963697885,0
1,ERROR,261,291,99,1322,0.24078251072113271,1
9,INFO,48,1,3,89,0.049841883944334746,0
14,WARNING,33,15,1,86,0.00382847240341877,0
9,INFO,24,22,4,144,0.037519443878973394,0
14,DEBUG,42,3,0,193,0.03663476382532712,0
8,INFO,39,4,2,126,0.005443463377270069,0
10,ERROR,14,26,2,75,0.048296932113560564,0
12,ERROR,49,12,3,492,0.04226185754904326,0
19,INFO,5,24,4,242,0.02558348239467247,0
18,WARNING,19,21,4,466,0.011022236225302018,0
13,DEBUG,3,12,1,339,0.009321256429766207,0
16,DEBUG,1,14,0,365,0.006382139602453241,0
16,ERROR,40,11,0,173,0.00967470735085243,0
10,DEBUG,41,6,3,484,0.04623551496698627,0
15,DEBUG,37,25,2,403,0.03174510928968723,0
11,INFO,33,14,1,369,0.006234288854809345,0
14,INFO,49,27,3,454,0.04608214430277901,0
13,INFO,46,27,0,430,0.0026893923752795423,0
15,DEBUG,17,2,1,184,0.02045420271098196,0
13,WARNING,9,3,4,242,0.03713130681466661,0
11,WARNING,31,21,2,370,0.04109929175324861,0
9,INFO,35,18,0,241,0.0421550475599238,0
14,INFO,3,8,0,195,0.04725912311589245,0
18,INFO,13,2,3,238,0.01339410044872057,0
18,INFO,37,20,2,177,0.019124159430530252,0
23,WARNING,308,306,81,3071,0.4124031821118201,1
16,INFO,14,14,0,259,0.043830904068790824,0
16,INFO,6,19,0,65,0.03004832525269724,0
14,DEBUG,29,20,3,370,0.013604344253487784,0
12,INFO,49,4,0,494,0.04010091811662042,0
10,INFO,9,6,3,380,0.045099507577516504,0
10,INFO,36,26,4,431,0.00041782187327065736,0
16,INFO,23,28,4,241,0.0002533781066519247,0
5,WARNING,315,486,23,7194,0.516666322288116,1
19,INFO,47,26,4,282,0.0278251566835243,0
18,DEBUG,7,10,1,175,0.004413732379475244,0
11,INFO,47,9,1,141,0.017822546243552156,0
18,INFO,25,3,4,395,0.028363103336852435,0
8,INFO,37,1,4,187,0.031261231570906656,0
17,INFO,23,14,2,124,0.008158265174545465,0
12,INFO,11,8,0,168,0.04200254375660134,0
15,WARNING,46,23,2,414,0.02724493057609927,0
17,INFO,8,18,2,119,0.02625935503142417,0
11,INFO,36,21,2,334,0.027045446803203973,0
3,CRITICAL,179,252,84,9205,0.39313436625089415,1
17,INFO,39,12,2,447,0.037607582698939504,0
11,INFO,1,10,2,439,0.004028069713183674,0
19,DEBUG,44,4,4,349,0.023162509971973153,0
16,INFO,13,25,2,112,0.029453194266445732,0
16,INFO,16,20,1,227,0.010573980759519064,0
14,INFO,46,5,0,424,0.024107899167773908,0
17,INFO,13,8,1,174,0.014322173634916242,0
15,ERROR,37,19,3,366,0.03548086797052375,0
19,DEBUG,14,22,1,69,0.026681706750168833,0
19,INFO,13,6,3,499,0.0046310273330552485,0
11,INFO,46,16,4,157,0.02999366657322159,0
23,ERROR,428,169,13,6861,0.7607672400249597,1
13,WARNING,28,9,2,192,0.00013748896605934592,0
10,DEBUG,22,11,2,471,0.0073130934526654924,0
14,DEBUG,20,3,2,182,0.00021484214487666465,0
10,INFO,47,29,3,320,0.049398246814967975,0
18,INFO,19,14,3,60,0.03169009468294071,0
14,INFO,11,5,3,484,0.031275668998900566,0
12,ERROR,30,21,0,82,0.04666110235432548,0
11,DEBUG,26,21,0,150,0.006376928468094601,0
10,INFO,15,6,0,430,0.0013817631538343756,0
15,INFO,30,1,2,213,0.034129700198011245,0
11,ERROR,29,13,4,474,0.030891722809075768,0
15,WARNING,32,9,1,407,0.04523433433927486,0
17,INFO,30,28,0,380,0.01616012430221622,0
10,INFO,44,3,1,212,0.027625141367943848,0
22,WARNING,378,260,19,7223,0.3941540635099078,1
16,INFO,36,20,3,369,0.012829667348221952,0
13,INFO,18,23,3,250,0.01800213604966603,0
12,INFO,41,8,2,124,0.017421354719339432,0
12,INFO,48,4,2,466,0.04222296178757676,0
10,INFO,39,26,1,286,0.01877603801742177,0
9,INFO,28,6,2,82,0.03115588166581318,0
23,ERROR,96,68,14,2186,0.5102280675094766,1
18,DEBUG,11,12,4,451,0.004243951254060663,0
8,DEBUG,17,26,4,444,0.04628899688824047,0
14,DEBUG,21,7,2,367,0.00393466937726173,0
12,WARNING,37,28,0,352,0.0005033865523122738,0
11,DEBUG,44,26,1,143,0.013555934930596947,0
3,CRITICAL,108,404,51,3868,0.4516805067977486,1
17,DEBUG,33,7,1,385,0.01451301978340095,0
22,ERROR,168,367,43,8662,0.23843929223632793,1
5,CRITICAL,235,400,43,3096,0.21640481924401625,1
11,INFO,32,3,0,242,0.03155287088190278,0
10,DEBUG,11,13,3,380,0.00037263688979323196,0
13,DEBUG,26,20,0,311,0.044622431444850126,0
12,WARNING,18,9,2,125,0.01299763691751113,0
14,INFO,32,11,0,331,0.02687744500993572,0
8,INFO,27,7,2,388,0.02841590704686095,0
12,INFO,16,23,0,498,0.011995613867578631,0
9,INFO,10,15,0,294,0.029549368117467025,0
9,DEBUG,44,1,1,231,0.04334556655376023,0
18,INFO,34,2,1,239,0.01655699917049726,0
18,INFO,33,1,1,389,0.046684924471852025,0
9,DEBUG,10,15,2,317,0.01173034669842929,0
16,INFO,42,4,4,201,0.005895155376548828,0
17,WARNING,26,4,4,344,0.01748364750660289,0
10,WARNING,42,14,4,379,0.044629421920961344,0
0,WARNING,84,238,28,5431,0.615128533622646,1
12,INFO,2,21,2,481,0.020792794023612494,0
11,WARNING,26,28,1,301,0.031213938853745116,0
11,DEBUG,20,1,1,282,0.04078374123321783,0
12,DEBUG,3,15,1,255,0.04525419970143281,0
17,WARNING,32,7,2,53,0.04959286092222165,0
16,INFO,1,16,0,78,0.04226354778355731,0
2,ERROR,97,192,11,5639,0.6445614301978533,1
16,INFO,43,24,2,96,0.01964540226758421,0
13,WARNING,44,14,0,104,0.04271278463982833,0
18,INFO,33,15,1,283,0.048803620936975836,0
19,WARNING,38,15,1,152,0.002976010422715464,0
2,ERROR,365,314,92,5785,0.27269496883545424,1
2,ERROR,340,297,29,5693,0.5258614570018378,1
17,INFO,17,28,0,482,0.020436606166347918,0
11,DEBUG,48,19,3,458,0.007836441621846718,0
10,INFO,43,25,0,222,0.04497359215360483,0
13,INFO,48,26,0,185,0.015211948598771358,0
2,CRITICAL,455,62,90,7851,0.7997771449939255,1
13,INFO,33,18,0,434,0.028580898100486973,0
9,INFO,11,15,0,407,0.04223477396440321,0
16,INFO,23,13,2,205,0.02383256662305627,0
2,ERROR,117,383,82,3091,0.6060022067462498,1
13,INFO,32,18,1,442,0.02239827308724744,0
8,DEBUG,19,4,4,147,0.004950109947005454,0
4,CRITICAL,352,108,55,6815,0.3594839454444505,1
9,INFO,28,4,1,499,0.02181628849849493,0
11,INFO,2,27,4,199,0.005721227614239044,0
23,ERROR,348,65,24,2789,0.25866847205124377,1
2,ERROR,337,100,84,9986,0.48852095321806316,1
17,INFO,28,14,3,110,0.017162518628546976,0
12,DEBUG,47,7,4,292,0.007953154359626763,0
17,WARNING,8,13,3,421,0.025650886055176403,0
9,DEBUG,43,24,0,372,0.03991808348072649,0
18,INFO,23,14,1,476,0.037464049440885216,0
18,DEBUG,48,10,4,222,0.048622429869483286,0
18,INFO,45,13,4,385,0.025017780195064506,0
8,DEBUG,30,6,0,90,0.03157534104100732,0
17,INFO,28,11,3,143,0.012178543618681138,0
8,INFO,13,25,3,196,0.03859492220467615,0
12,DEBUG,37,6,2,349,0.025002828382135064,0
14,INFO,12,27,1,75,0.02363106348937008,0
16,WARNING,10,11,2,193,0.014940352109304734,0
16,INFO,17,19,3,455,0.01591304108444941,0
5,CRITICAL,155,55,23,5625,0.7437381921464443,1
8,WARNING,22,25,3,86,0.047275539867632436,0
12,ERROR,15,3,4,255,0.011898131146976538,0
13,WARNING,16,1,0,201,0.0019295443616207776,0
13,INFO,20,16,2,217,0.021129280091290028,0
11,ERROR,10,12,4,425,0.048426828190706435,0
8,WARNING,42,27,4,252,0.0015177272636060447,0
10,WARNING,26,14,0,443,0.012912860942795602,0
17,DEBUG,49,18,0,208,0.012528542067785054,0
11,ERROR,23,28,4,228,0.02662533810823549,0
11,INFO,17,3,4,487,0.03782453570744244,0
11,INFO,34,24,2,266,0.020704604879819868,0
12,DEBUG,41,8,2,358,0.016439643806379474,0
18,DEBUG,22,18,1,197,0.014247246509623973,0
1,CRITICAL,170,382,99,6423,0.21483133387419368,1
11,INFO,7,15,4,208,0.04703126145265762,0
16,INFO,5,22,1,193,0.028986358640822538,0
16,WARNING,31,2,4,406,0.04403781781276028,0
4,INFO,141,413,55,3451,0.6530365541620007,1
4,ERROR,456,469,42,1851,0.7860021397808097,1
16,INFO,22,23,2,172,0.01488688404435764,0
11,INFO,3,29,3,316,0.016802101483561215,0
12,INFO,23,10,4,481,0.030617567181634765,0
11,DEBUG,4,27,2,168,0.01905471981464122,0
9,DEBUG,46,11,1,473,0.025496267508583886,0
17,INFO,24,19,4,452,0.011485653811978358,0
0,CRITICAL,263,74,76,8760,0.5809089702123224,1
9,INFO,49,19,1,235,0.009598527458675466,0
8,DEBUG,41,10,4,204,0.0457012179314987,0
10,DEBUG,3,22,2,218,0.043445574530888514,0
18,WARNING,47,17,3,447,0.04051959930750508,0
17,ERROR,21,24,2,298,0.04685249782321347,0
8,INFO,26,23,4,389,0.040286353846617606,0
11,DEBUG,1,1,1,468,0.017626617543237334,0
8,INFO,30,7,4,406,0.008478689204892937,0
11,INFO,4,16,4,272,0.025190092421531314,0
10,INFO,14,11,2,51,0.00027274585853400703,0
2,ERROR,357,99,31,9662,0.285491019219512,1
8,INFO,12,18,0,138,0.04280819538576396,0
15,ERROR,38,1,3,62,0.04105312617749887,0
2,WARNING,300,338,40,3845,0.40993545143860466,1
16,CRITICAL,36,29,3,130,0.005740975199600801,0
3,WARNING,264,409,16,7392,0.5198849451282646,1
14,INFO,1,2,2,253,0.03240654331551955,0
3,ERROR,452,436,22,3693,0.7514732953281513,1
11,INFO,39,6,2,263,0.025472224450855507,0
4,ERROR,395,365,33,7662,0.24484826387044542,1
8,INFO,15,28,2,64,0.04088760505663195,0
23,INFO,172,221,28,8612,0.5742964608730281,1
10,INFO,16,8,0,180,0.04789739603274105,0
9,INFO,17,22,4,197,0.004488732341807827,0
2,WARNING,447,285,78,4608,0.45242303657336963,1
13,WARNING,10,20,0,476,0.031823959706612504,0
19,DEBUG,11,14,3,75,0.04999489594639792,0
14,INFO,28,22,4,94,0.041622773201349016,0
13,DEBUG,27,29,4,77,0.01562802640249079,0
16,INFO,38,21,1,422,0.023639659988872165,0
19,INFO,18,26,4,404,0.017875256775375877,0
2,ERROR,407,148,26,7295,0.4358482690663704,1
9,DEBUG,48,22,4,237,0.02620618850386013,0
9,DEBUG,30,25,3,345,0.04508976124139463,0
5,ERROR,185,66,72,1131,0.30986508143574804,1
0,ERROR,451,78,16,8601,0.20566231792040746,1
12,INFO,2,26,4,345,0.027075917006499507,0
8,DEBUG,20,17,1,447,0.049357184187723405,0
14,WARNING,12,25,0,315,0.03142383016024341,0
16,DEBUG,29,5,3,302,0.0027510780220336706,0
13,WARNING,46,27,4,353,0.001688003091614604,0
9,INFO,8,3,2,448,0.021482778440386832,0
13,INFO,38,24,2,222,0.0018670293559573726,0
16,INFO,46,24,0,245,0.0052281288924080965,0
23,CRITICAL,289,168,50,5362,0.20405590478891925,1
1,WARNING,113,373,69,6341,0.7807113935061363,1
15,INFO,35,10,1,196,0.009234839528066025,0
19,INFO,39,4,0,169,0.04255547742126057,0
14,WARNING,31,10,1,225,0.008778624144322473,0
15,INFO,16,18,4,77,0.03821218499730684,0
17,DEBUG,23,29,0,477,0.030120730499525395,0
13,DEBUG,34,13,3,71,0.04282421268864051,0
1,WARNING,403,296,67,5328,0.7873071482659817,1
14,DEBUG,17,17,4,217,1.655480097750295e-05,0
3,WARNING,490,119,54,4612,0.37989613111667064,1
18,INFO,24,26,0,151,0.001608686495231232,0
17,DEBUG,35,19,0,80,0.04167663350920729,0
12,INFO,23,18,1,140,0.029796621537864762,0
23,ERROR,216,409,20,6587,0.2856123738982127,1
5,WARNING,323,197,65,2094,0.7281897965519697,1
14,DEBUG,21,18,0,246,0.008943180140192969,0
15,DEBUG,19,16,3,176,0.017001878458570208,0
17,DEBUG,31,25,1,387,0.013534746303960406,0
10,WARNING,7,11,2,142,0.042427836366735104,0
2,ERROR,270,464,37,8120,0.46560697202347195,1
9,DEBUG,24,18,0,319,0.0066714778167512425,0
8,INFO,46,19,2,492,0.016649734986021913,0
17,DEBUG,8,18,1,102,0.03988659044986054,0
22,ERROR,395,315,61,4597,0.379117549186454,1
13,INFO,3,17,0,437,0.030757576269958127,0
17,INFO,34,8,1,278,0.01027375880671414,0
19,INFO,13,15,1,465,0.003768189925015958,0
15,DEBUG,32,17,1,354,0.011701118572965259,0
13,INFO,35,21,2,215,0.04099105638780061,0
13,WARNING,21,11,2,142,0.03440116444139301,0
3,CRITICAL,261,299,75,9821,0.5307319276431067,1
19,DEBUG,2,6,2,429,0.010736994780492682,0
3,ERROR,456,449,89,1624,0.34483593893540965,1
