url_length,num_dots,has_ip,has_at_symbol,has_double_slash,prefix_suffix,subdomain_level,domain_age_days,has_https,abnormal_url,special_char_count,digits_ratio,shortening_service,is_malicious
64,2,0,0.0,0,0,1,2385,1,0,2,0.08953272166531574,0,0
55,3,0,0.0,0,0,0,2460,1,0,1,0.04110187485776223,1,0
229,10,1,1.0,1,0,3,44,1,0,15,0.37788107924166847,1,1
234,7,1,0.0,0,1,2,3,1,1,9,0.29572277888465937,1,1
143,8,1,0.0,1,0,5,39,0,1,10,0.22006053670063858,0,1
81,7,0,1.0,0,1,2,25,1,0,15,0.3151961027989898,1,1
20,2,0,0.0,0,0,0,2836,1,0,3,0.09218138284843834,0,0
105,6,1,1.0,0,0,5,53,0,1,12,0.20411668981695955,0,1
59,1,0,0.0,0,0,0,2833,1,0,2,0.030156285386160164,0,0
58,3,0,0.0,0,0,1,1810,1,0,2,0.07754725545751143,0,0
56,3,0,0.0,0,0,0,1602,1,0,0,0.006220857336012398,0,0
22,2,0,0.0,0,0,0,537,1,0,4,0.08247925354410811,0,0
66,3,0,0.0,0,0,1,1529,1,0,0,0.08569838637763273,0,0
50,1,0,0.0,0,0,0,3485,1,0,4,0.014326510625518452,0,0
109,11,1,1.0,1,1,2,68,0,1,14,0.388875329827187,0,1
36,3,1,0.0,0,0,0,3477,1,0,1,0.07189733141561665,0,0
42,1,0,0.0,0,0,1,718,1,0,0,0.047064571971303884,0,0
32,1,0,0.0,0,0,0,1024,1,0,2,0.03135926060580957,0,0
66,3,0,0.0,0,0,1,2908,0,0,3,0.03967730350550115,0,0
187,7,1,0.0,1,1,5,5,0,1,7,0.24877156701813571,0,1
70,1,1,0.0,0,0,0,2395,1,0,3,0.012224603446175231,0,0
146,10,0,0.0,1,1,4,61,1,0,11,0.3690696141801101,0,1
253,10,1,0.0,0,1,2,49,0,0,9,0.3356521825516809,0,1
72,2,0,0.0,0,0,0,1005,1,0,3,0.07702891754437025,0,0
32,3,0,0.0,0,0,0,3288,1,0,4,0.09543328119330946,0,0
151,4,0,0.0,0,1,2,8,0,1,5,0.37794014958528244,1,1
122,10,1,1.0,1,1,4,13,1,1,5,0.3805982863148645,0,1
266,8,0,0.0,0,0,3,84,0,1,6,0.37274399736217423,0,1
125,8,0,0.0,1,1,2,10,0,1,16,0.19293917977569963,1,1
78,3,0,0.0,0,1,0,1912,1,0,3,0.019513069647297432,0,0
22,2,0,0.0,0,0,0,2286,1,0,4,0.004902297546875334,0,0
62,2,0,0.0,0,0,1,2021,1,0,3,0.017178144985110878,0,0
118,5,1,0.0,0,1,5,26,1,0,13,0.3975207025574956,0,1
20,3,0,0.0,0,1,1,1549,1,0,3,0.0005505161141894144,0,0
68,2,0,0.0,0,0,0,3645,1,0,4,0.06044430734066702,0,0
79,1,0,0.0,0,0,0,2486,1,0,1,0.004441320223756251,0,0
77,3,0,0.0,0,1,0,3628,1,0,2,0.029272345057851326,0,0
32,3,0,0.0,0,0,0,2291,1,0,2,0.0450730200673391,1,0
156,4,1,1.0,1,1,2,71,1,1,14,0.100677896849963,0,1
52,1,0,0.0,0,1,0,3001,1,0,2,0.09530404840770655,0,0
258,5,1,1.0,0,0,2,69,0,0,18,0.39510197410856607,0,1
21,3,0,0.0,1,0,1,2421,1,0,4,0.0023143552227881336,0,0
58,3,0,0.0,0,0,0,1901,1,1,0,0.04018513633689799,0,0
99,11,1,1.0,0,0,2,35,0,1,5,0.1693342842346256,1,1
231,7,1,0.0,0,1,2,41,0,1,11,0.17683598690486135,1,1
50,3,0,0.0,0,0,0,1811,0,0,4,0.05352981373180354,0,0
113,9,1,1.0,1,1,5,17,0,0,9,0.18328015561594285,0,1
53,3,0,0.0,0,0,1,978,1,0,1,0.03655835405721928,1,0
38,1,0,0.0,0,0,0,350,1,0,1,0.037244869630175446,0,0
77,1,0,0.0,0,0,1,2548,1,0,4,0.07682745558231215,0,0
56,1,0,0.0,0,0,1,766,1,0,2,0.09712681801099321,0,0
28,2,0,0.0,0,0,0,773,1,0,4,0.030951265752544022,0,0
43,3,0,0.0,0,0,1,2842,0,0,2,0.02171576463762309,0,0
32,3,0,0.0,0,0,1,2548,1,0,4,0.0744314099358324,0,0
63,3,0,0.0,0,0,1,460,0,0,2,0.05124905996676127,0,0
49,1,0,0.0,0,0,0,3221,1,0,0,0.07365657752711678,0,0
225,9,1,1.0,1,1,3,58,0,1,19,0.33319670773002563,1,1
60,1,0,0.0,1,0,0,2522,1,0,4,0.09970048951392489,0,0
29,3,0,0.0,0,0,0,2396,0,0,2,0.048426458515911076,0,0
129,7,1,0.0,1,1,2,66,0,1,18,0.32380107102754685,0,1
61,2,0,0.0,0,0,1,2322,1,0,0,0.017910459595580363,1,0
63,3,0,0.0,0,0,1,2602,1,0,3,0.015678284929316912,0,0
33,1,0,0.0,0,0,0,1381,1,0,2,0.035879021286857916,0,0
59,2,0,0.0,0,0,1,1260,1,0,1,0.024282244549926703,0,0
220,6,1,0.0,1,1,2,12,0,0,10,0.31451172742700617,1,1
95,11,1,0.0,1,1,4,41,1,1,14,0.24788382398723247,0,1
39,3,0,0.0,0,0,0,995,1,0,0,0.010475102757148491,0,0
291,10,1,1.0,0,1,4,51,1,1,7,0.13736453819319652,0,1
92,11,1,0.0,1,1,2,54,0,1,14,0.11412418611931344,0,1
63,2,0,0.0,0,0,1,2134,1,0,2,0.0554772855235945,0,0
145,11,0,1.0,1,1,5,7,0,1,7,0.39040500827985813,1,1
69,3,0,0.0,1,0,0,2903,1,1,2,0.0854589159071481,0,0
226,6,1,1.0,1,1,4,81,0,0,12,0.14413167782431058,0,1
252,8,1,1.0,1,0,3,67,1,1,8,0.32359041681587314,0,1
61,2,0,0.0,0,0,1,2134,1,0,1,0.08186018692378237,0,0
51,1,0,0.0,0,0,1,1919,1,0,4,0.071110909941921,0,0
25,2,0,0.0,0,0,0,1212,1,0,3,0.09189058577629305,0,0
78,3,0,0.0,0,0,0,646,1,0,4,0.0611490724074998,0,0
93,10,1,0.0,0,1,2,30,0,1,7,0.28860593632980536,1,1
211,11,1,0.0,0,0,4,41,0,0,19,0.14576603456489862,0,1
33,3,0,0.0,0,0,0,3420,1,1,0,0.019317095209704573,0,0
31,3,0,0.0,0,0,1,1739,1,0,4,0.04343359333836414,0,0
46,1,0,0.0,0,0,1,1843,1,0,4,0.0710527453228532,0,0
73,3,0,0.0,0,0,1,3631,1,0,1,0.0884780503654724,0,0
45,2,0,0.0,0,0,0,2846,0,0,3,0.028307976404320246,0,0
31,3,0,0.0,0,0,0,1314,1,0,0,0.015151659433824205,0,0
254,7,1,1.0,1,0,4,61,0,1,9,0.36231237492890034,1,1
29,3,0,0.0,0,0,1,2707,1,0,0,0.0389822574180663,0,0
35,3,0,0.0,0,0,0,3255,1,0,4,0.06450152938749013,0,0
232,9,1,0.0,1,0,3,38,1,1,14,0.36751027457688745,1,1
45,2,1,0.0,0,0,1,2608,1,0,1,0.04931795090974515,0,0
286,4,0,0.0,1,0,2,83,0,1,8,0.3148727939522692,0,1
103,7,1,1.0,1,1,2,16,1,1,9,0.29517052675687677,1,1
64,3,0,0.0,0,0,1,1362,1,0,1,0.0293283900230237,0,0
48,2,0,0.0,0,0,1,3532,0,0,2,0.09718380254681505,0,0
39,3,0,0.0,0,0,1,335,0,0,1,0.08420379289641475,0,0
36,2,0,0.0,0,0,1,2675,1,0,2,0.032309273177837015,0,0
38,2,0,0.0,0,0,0,2816,1,0,1,0.042047839596049776,1,0
36,2,0,0.0,0,0,0,2719,1,0,1,0.00763695296085124,0,0
58,3,1,0.0,0,0,1,715,1,0,2,0.07830531083157521,0,0
79,2,0,0.0,0,0,0,1755,1,0,0,0.031101801810678932,0,0
20,3,0,0.0,1,0,1,1185,1,0,3,0.017047431266935042,0,0
99,9,1,0.0,0,1,2,66,0,1,9,0.16423106270651802,1,1
71,2,0,0.0,0,0,1,3266,1,0,4,0.08445291264993318,0,0
48,1,0,0.0,0,0,0,1544,1,0,1,0.036725266502906216,0,0
33,2,0,0.0,0,0,0,745,1,0,0,0.025688134562416143,0,0
287,8,1,0.0,0,0,2,79,0,1,7,0.18652714401298048,1,1
32,1,1,0.0,0,0,0,1645,1,0,0,0.029315116776217842,0,0
48,3,0,0.0,0,0,0,2818,1,0,1,0.05088575830972445,0,0
259,6,1,1.0,1,0,2,77,0,1,7,0.19529796652801323,1,1
46,1,0,0.0,0,0,1,1242,1,0,3,0.061751015890161326,0,0
203,4,1,0.0,1,0,5,89,0,1,11,0.20628770152425288,0,1
52,1,0,0.0,0,0,1,3442,0,0,0,0.0365347415224936,0,0
48,3,0,0.0,0,0,1,3451,1,0,4,0.05392128827522075,0,0
56,2,0,0.0,0,0,0,767,1,0,2,0.015829600162697067,0,0
58,1,0,0.0,0,0,0,3329,1,0,4,0.017302166021355602,0,0
38,3,0,0.0,0,1,1,564,1,0,1,0.05799290550384328,0,0
176,11,1,1.0,0,1,2,22,0,1,9,0.13452077094384146,0,1
43,3,0,0.0,0,0,0,839,1,0,2,0.00012338562676994513,0,0
33,2,0,0.0,0,0,1,1656,1,0,0,0.08058579002150856,0,0
66,2,0,0.0,0,0,0,2319,1,0,0,0.015755322708660657,0,0
56,1,0,0.0,0,0,1,1679,1,1,4,0.05545449695369205,0,0
24,2,0,0.0,0,0,0,3428,1,0,2,0.04432301810231956,0,0
72,3,0,0.0,1,0,1,2317,0,0,2,0.01863101763848063,0,0
43,2,0,0.0,0,0,1,1221,1,0,4,0.051478164365430595,0,0
53,3,0,0.0,0,0,0,714,1,0,0,0.06947131400792962,0,0
69,2,0,0.0,0,0,0,3357,1,0,1,0.0287870287769603,0,0
50,2,0,0.0,0,0,0,2629,0,1,3,0.0731545967799873,0,0
49,1,0,0.0,0,0,0,2159,1,0,4,0.08563132129833667,0,0
79,2,0,0.0,0,0,0,1758,1,0,4,0.05332675325680978,0,0
230,4,1,1.0,1,1,3,4,1,0,19,0.22829177860764452,0,1
28,3,0,0.0,1,1,1,1007,1,0,2,0.001525403078866805,0,0
46,3,0,0.0,0,0,1,3367,1,0,1,0.02126239082341035,0,0
47,3,0,0.0,0,0,0,2635,1,0,1,0.09885618841807825,0,0
227,6,1,0.0,1,0,5,31,1,1,8,0.34707332937698554,1,1
165,7,0,1.0,0,0,3,89,0,1,14,0.3931359699786695,1,1
37,3,0,0.0,0,0,0,2195,1,0,2,0.06542117641005661,0,0
55,2,0,0.0,0,0,0,2264,1,0,4,0.03581609152645332,0,0
184,9,1,0.0,0,1,5,25,1,0,7,0.36050522943109076,1,1
37,1,0,0.0,0,0,1,3409,1,0,1,0.06503886114111873,0,0
39,1,0,0.0,0,0,0,584,1,0,2,0.08722669858093744,0,0
77,3,0,0.0,0,0,1,1602,1,0,2,0.050516491441345096,0,0
51,3,0,0.0,0,0,0,1548,1,0,4,0.05304170827353662,0,0
125,11,1,0.0,0,1,2,55,0,0,15,0.12315925811895337,1,1
160,7,0,1.0,1,1,5,46,0,1,6,0.3205070009364335,1,1
67,1,0,0.0,0,0,0,3210,1,0,1,0.05608188626655669,0,0
37,1,0,0.0,0,0,0,294,1,1,3,0.004318874566206699,0,0
26,3,0,0.0,0,0,0,1250,0,0,4,0.05504091102258699,0,0
94,11,1,1.0,0,1,3,20,1,1,14,0.20095018921925062,0,1
202,4,1,1.0,1,0,4,22,1,1,8,0.1100245085360088,1,1
200,4,0,0.0,1,1,3,63,1,1,17,0.3299811859412164,0,1
157,8,1,1.0,1,0,2,55,0,0,8,0.10134038101703947,0,1
23,2,1,0.0,0,0,0,2696,1,0,3,0.028380824129441387,0,0
74,1,0,0.0,0,0,1,650,1,0,2,0.04460697837812656,0,0
39,3,0,0.0,0,0,1,3109,1,0,0,0.06285500230352987,0,0
277,4,1,0.0,0,1,3,9,0,1,14,0.3906655298439027,1,1
71,1,0,0.0,0,0,0,3528,1,0,1,0.06658599496354836,0,0
55,3,0,0.0,0,0,1,3476,1,0,2,0.06404284666467318,0,0
76,2,0,0.0,0,0,0,3452,1,0,2,0.03922064063103386,0,0
50,3,0,0.0,0,0,1,1996,1,0,1,0.012725528680824905,0,0
57,3,0,0.0,0,0,1,3148,1,0,2,0.02974352162852907,0,0
47,1,0,0.0,0,0,0,2400,1,0,0,0.06138620455295063,0,0
22,2,1,0.0,0,0,1,993,1,0,4,0.0420113802016889,0,0
25,2,0,0.0,0,0,1,1030,0,0,3,0.03849940807178004,0,0
64,3,0,0.0,0,0,0,1908,1,0,3,0.07826215045908766,0,0
42,3,0,0.0,0,0,0,499,1,0,3,0.030971930100926182,0,0
293,5,1,0.0,1,1,5,35,0,1,7,0.23192013460682429,0,1
75,2,0,0.0,0,0,1,3107,1,0,3,0.07140471879956832,0,0
55,1,0,0.0,0,0,0,981,1,0,2,0.020950683341591073,0,0
206,5,1,1.0,1,0,2,22,0,0,12,0.34899465554959697,1,1
25,3,0,0.0,0,0,1,2918,1,0,0,0.002490643120077607,0,0
205,8,0,1.0,1,1,3,45,0,1,16,0.26387393198264275,1,1
56,1,0,0.0,0,0,1,3235,1,0,0,0.08695483678182636,0,0
64,2,0,0.0,1,0,1,512,1,1,3,0.027207719992122917,0,0
70,3,0,0.0,1,1,0,502,1,0,2,0.004611077856540169,0,0
55,3,0,0.0,0,0,0,1260,1,0,4,0.057341330783886285,0,0
43,3,0,0.0,0,0,1,248,1,0,1,0.011788784996396295,0,0
57,3,0,0.0,0,0,0,701,1,1,0,0.050347748434610866,0,0
150,8,1,1.0,1,1,3,33,1,0,18,0.21013875106650662,1,1
48,3,0,0.0,0,0,0,303,1,0,4,0.011439521802316499,0,0
271,10,1,0.0,1,1,3,64,0,1,11,0.31945522399304005,1,1
64,1,0,0.0,0,0,0,2163,1,0,0,0.024528554784740277,0,0
248,11,1,1.0,0,1,4,60,1,1,12,0.34471020354830956,0,1
44,3,0,0.0,1,0,1,1019,1,1,0,0.002444395199322447,0,0
29,1,0,0.0,0,0,1,1658,1,0,0,0.03895880011524201,0,0
54,3,0,0.0,0,0,1,823,1,0,0,0.03421899854682966,0,0
74,1,0,0.0,0,0,1,907,0,0,2,0.06325201070277574,0,0
264,5,1,0.0,0,0,5,49,0,1,14,0.17000893932747624,1,1
46,2,0,0.0,0,0,0,209,1,0,1,0.04179983513578205,0,0
64,2,0,0.0,0,0,0,1107,1,0,4,0.04936596628335101,0,0
51,2,0,0.0,0,0,1,3404,1,0,3,0.0726272044621765,0,0
78,1,0,0.0,0,0,1,658,1,0,1,0.0371506589700473,0,0
263,5,1,1.0,1,1,2,36,0,1,11,0.15892483616801262,0,1
238,4,1,1.0,1,0,3,7,0,1,13,0.10440313702210237,0,1
167,7,1,1.0,0,1,2,46,0,1,13,0.10805376001684863,0,1
45,1,0,0.0,0,0,1,3381,1,0,4,0.026541126738754608,0,0
22,3,0,0.0,0,0,0,1813,1,0,0,0.018004950310905276,0,0
156,7,1,0.0,1,1,2,32,0,1,8,0.15526766635628697,1,1
28,1,0,0.0,0,0,1,1698,1,0,3,0.06173474025399457,1,0
215,7,1,1.0,1,1,2,55,0,1,16,0.2728800652363247,1,1
262,9,1,1.0,0,1,2,72,0,1,18,0.22097794139027865,0,1
276,6,1,0.0,1,1,4,3,0,1,7,0.21970866095569416,0,1
60,1,0,0.0,0,0,1,2002,1,0,3,0.09352771240638814,0,0
72,1,0,0.0,0,0,1,1763,1,0,1,0.06397097441185616,0,0
172,11,0,1.0,1,1,5,84,1,1,8,0.3315255277660154,0,1
76,3,0,0.0,0,0,0,2769,0,0,2,0.03132974416665526,0,0
60,2,0,0.0,0,0,0,1539,1,0,3,0.039753690365581955,0,0
53,1,0,0.0,0,0,1,3104,1,0,3,0.012987370216709648,0,0
267,10,1,1.0,1,1,5,39,1,1,13,0.20933339009838486,1,1
47,1,0,0.0,0,0,0,271,1,0,0,0.03824801588224267,0,0
67,1,0,0.0,0,0,0,2756,0,0,2,0.06631027423373474,0,0
54,2,0,0.0,0,0,1,3482,1,1,3,0.04277831360545717,0,0
35,2,0,0.0,0,0,0,1285,1,1,2,0.04069918096573652,0,0
131,4,1,1.0,1,1,2,24,0,1,15,0.27039806366491154,0,1
32,1,0,0.0,0,0,0,2265,1,0,0,0.048818231063073106,0,0
54,1,0,0.0,0,0,0,2543,1,0,1,0.04276778826758061,0,0
97,7,1,0.0,1,1,3,76,1,0,17,0.38740710795002253,0,1
118,7,1,0.0,1,1,3,38,1,1,18,0.35679905639989973,1,1
51,3,0,0.0,0,0,1,847,1,0,0,0.03543181977428107,0,0
132,7,1,0.0,0,0,4,74,1,1,19,0.256715760172352,0,1
57,3,0,0.0,0,0,0,2874,1,0,3,0.0903270388922948,0,0
25,2,0,0.0,0,0,0,1125,1,0,3,0.08311419333658059,0,0
131,5,1,0.0,1,1,3,49,0,0,14,0.20601088468501205,1,1
295,8,1,1.0,1,0,3,68,1,1,11,0.3192591264737171,0,1
151,5,0,0.0,0,1,4,39,0,1,17,0.21334351198208454,0,1
107,6,0,0.0,1,0,4,31,0,0,5,0.37189071433730936,1,1
79,2,0,0.0,0,0,1,1824,1,0,1,0.04870828228743121,0,0
32,3,0,0.0,0,0,1,1576,1,0,2,0.05111851553805902,0,0
197,10,1,0.0,0,1,5,72,0,1,16,0.2187871851064273,0,1
72,2,0,0.0,0,0,1,580,1,0,1,0.006974111665530015,0,0
114,7,0,1.0,1,1,4,16,0,0,6,0.3870424207466737,1,1
224,8,0,1.0,0,1,2,6,0,1,5,0.27529097264297236,0,1
280,6,1,0.0,1,1,3,34,0,1,8,0.18153490588554716,0,1
31,1,0,0.0,0,0,1,2185,0,0,4,0.01351899089988109,0,0
72,2,0,0.0,0,0,0,2378,1,0,0,0.07340127055109938,0,0
78,2,0,0.0,0,0,1,3489,1,0,2,0.012412595547189244,0,0
52,3,0,0.0,0,0,1,2422,1,0,3,0.07436399438619688,0,0
47,3,0,0.0,0,0,1,210,1,0,2,0.07062794121525748,0,0
76,1,0,0.0,0,0,1,1247,1,0,0,0.014911624395974722,0,0
22,1,0,0.0,0,0,0,2299,0,0,1,0.06087236509110777,0,0
37,1,0,0.0,0,0,1,1281,0,0,2,0.06178712133110788,0,0
45,2,0,0.0,0,0,1,2894,1,0,0,0.053082256889732254,0,0
73,2,0,0.0,0,0,0,1325,1,0,3,0.034973845720448586,0,0
59,1,0,0.0,1,0,0,3556,0,0,0,0.07183937603302464,0,0
158,8,1,1.0,1,1,3,7,0,0,6,0.38972375240001056,1,1
23,3,0,0.0,0,0,1,1780,1,0,2,0.0014792016752514403,0,0
69,2,0,0.0,0,1,1,2839,1,0,2,0.05670846368314249,0,0
47,3,0,0.0,0,0,1,2671,1,0,1,0.052469716651819535,0,0
87,4,1,1.0,1,1,4,63,0,0,9,0.34381614531691895,1,1
44,2,0,0.0,0,0,1,221,1,0,0,0.07077554038227224,0,0
45,1,0,0.0,0,0,1,525,1,0,0,0.08370861771434109,0,0
64,3,0,0.0,0,0,0,1310,1,0,0,0.020485511641402644,0,0
66,1,0,0.0,0,0,1,2258,0,0,0,0.04638205874633894,0,0
21,3,0,0.0,0,0,1,1806,1,0,1,0.009313408540964031,0,0
61,3,0,0.0,0,0,1,3113,1,0,2,0.07725998263179096,0,0
53,1,0,0.0,0,0,0,3166,1,0,3,0.096476197153944,0,0
173,6,1,0.0,1,0,5,10,1,1,11,0.2767642324549861,1,1
286,8,1,0.0,1,0,4,75,0,1,19,0.2385294992892893,0,1
63,1,0,0.0,0,0,1,510,1,0,4,0.0983948614757341,0,0
56,1,0,0.0,0,0,0,1297,1,0,4,0.04745026614912265,0,0
94,11,1,0.0,1,0,5,25,1,1,13,0.16897451915415485,1,1
42,3,0,0.0,0,0,0,2240,0,0,3,0.046649616575352874,0,0
52,2,0,0.0,0,0,1,785,1,0,3,0.07731342280933512,0,0
79,1,1,0.0,1,0,0,316,1,0,4,0.04403799218877036,0,0
21,1,0,0.0,0,0,0,1246,1,0,3,0.01976096026741543,0,0
183,6,0,0.0,0,1,3,68,0,1,16,0.3974059382060622,1,1
117,8,1,0.0,1,0,4,65,0,0,6,0.3074002125900114,1,1
78,1,0,0.0,0,0,0,3034,1,0,4,0.002371242217788838,0,0
41,1,0,0.0,0,0,0,691,1,0,0,0.05145313498421605,0,0
53,1,0,0.0,0,0,0,3511,1,0,4,0.0843898432709452,0,0
35,2,0,0.0,0,0,0,2240,1,0,2,0.01671782926216906,0,0
39,2,0,0.0,0,0,0,3204,1,0,1,0.09340992788145015,0,0
45,1,0,0.0,0,0,1,2100,1,0,1,0.04619714381335086,1,0
96,11,1,1.0,0,1,4,18,0,1,18,0.21448017854927406,1,1
25,2,0,0.0,1,0,1,232,1,0,4,0.08938141600505313,0,0
64,2,1,0.0,0,0,1,189,1,0,0,0.051817749809496085,1,0
118,4,1,0.0,1,1,5,52,1,1,7,0.3849326838619248,0,1
275,9,0,1.0,0,1,5,55,0,1,9,0.15019517748468622,0,1
61,2,0,0.0,1,0,0,2614,1,0,0,0.07891185258387041,0,0
56,2,0,0.0,0,0,0,2811,1,0,1,0.012175060023710382,0,0
27,1,0,0.0,1,0,0,482,1,0,0,0.09142700175648127,0,0
25,2,0,0.0,1,0,0,188,1,0,3,0.0887985725126783,0,0
56,1,0,0.0,0,0,0,1697,1,0,2,0.01800854080176837,0,0
174,4,1,0.0,1,0,5,1,0,0,9,0.28605458660042016,1,1
41,1,0,0.0,0,1,1,462,1,0,2,0.0183582558038765,0,0
25,1,0,0.0,0,0,0,1327,1,0,1,0.019049459168652673,0,0
73,1,0,0.0,0,0,0,2022,1,0,0,0.002293497063687633,0,0
51,2,0,0.0,0,0,0,1161,1,0,0,0.0020973402392054255,0,0
228,9,0,0.0,1,1,5,68,0,1,13,0.3589525773449911,0,1
191,11,1,0.0,1,0,5,32,0,1,10,0.23634378080801366,0,1
36,2,0,0.0,0,0,1,946,1,0,2,0.05281915867710832,0,0
56,3,0,0.0,0,0,0,345,1,0,0,0.06644260370691306,0,0
42,3,0,0.0,0,0,1,2149,1,0,1,0.09417933057926225,0,0
68,2,0,0.0,0,0,1,1263,1,0,3,0.06344458192037546,0,0
68,1,0,0.0,0,0,0,1401,0,0,2,0.045969208978682355,0,0
32,3,0,0.0,0,0,1,3551,1,0,0,0.05223606198315081,0,0
51,3,0,0.0,0,0,1,1621,1,1,2,0.06504770603876685,0,0
41,2,0,0.0,0,0,0,1914,1,0,3,0.03613676830511049,1,0
26,3,0,0.0,0,0,1,1255,1,0,3,0.04343985684209727,0,0
41,3,0,0.0,0,0,1,2109,0,0,0,0.01024166850860776,0,0
40,2,0,0.0,0,0,1,3298,1,0,1,0.04436311238349862,0,0
25,3,0,0.0,0,0,0,1775,1,0,3,0.0985458150651784,0,0
33,1,1,0.0,0,0,1,3523,1,0,4,0.02535916465817859,0,0
122,4,1,1.0,0,1,3,25,0,1,14,0.3177585045394765,0,1
22,1,0,0.0,0,0,0,2453,1,0,1,0.07385157351089015,0,0
28,1,0,0.0,0,0,1,3130,1,0,2,0.023468168874370587,0,0
66,2,0,0.0,0,0,1,1404,1,0,1,0.09644068803509866,1,0
40,3,0,0.0,0,0,0,2984,1,0,4,0.07462149134211556,0,0
69,2,0,0.0,0,1,1,748,1,0,2,0.08109650021234194,0,0
49,3,0,0.0,0,0,1,1836,1,0,1,0.050520891518020986,1,0
276,8,1,0.0,1,0,3,31,0,1,12,0.22760027798932078,1,1
79,3,0,0.0,0,0,1,306,1,0,0,0.08551608268422872,0,0
61,1,0,0.0,0,0,1,3197,1,0,4,0.06535811783424181,0,0
61,1,0,0.0,1,1,0,1381,1,0,2,0.0936331059744132,0,0
51,1,0,0.0,0,0,0,2395,1,0,4,0.014223964650851618,0,0
42,2,0,0.0,0,0,0,2384,1,0,0,0.052120173087057034,0,0
292,7,0,1.0,1,0,2,14,0,0,17,0.36327101869724376,0,1
20,3,0,0.0,0,0,1,577,1,0,3,0.030054970270265026,1,0
230,11,1,0.0,1,1,5,1,0,1,6,0.11018177582203348,1,1
128,9,1,1.0,0,0,4,48,0,0,6,0.23387598690163366,1,1
