url_length,num_dots,subdomain_level,https,shortening_service,suspicious_words,is_phishing
93,9,4,0,0,0,1
109,9,2,1,0,6,1
37,4,2,1,0,4,1
149,9,3,0,0,3,1
62,7,0,0,0,4,0
176,5,2,0,0,1,1
85,9,1,1,1,0,1
16,8,1,0,1,9,1
14,5,2,1,1,0,0
154,7,0,0,1,3,1
79,3,4,1,1,6,1
100,3,2,0,0,1,0
67,4,3,1,0,8,0
140,9,3,0,0,7,1
170,6,4,1,1,4,1
89,6,4,0,1,4,1
173,3,2,1,0,1,0
58,1,4,1,1,2,0
194,8,3,1,1,4,1
17,4,1,1,1,1,0
110,9,3,1,0,5,1
154,9,0,0,1,2,1
143,2,2,1,0,8,0
65,2,2,0,0,6,0
127,1,1,1,0,0,0
35,9,2,0,0,0,0
108,1,4,1,0,5,1
104,5,2,0,0,4,1
62,5,1,1,0,0,0
119,1,2,0,0,3,0
122,8,1,1,0,7,1
48,2,2,0,1,0,0
142,9,0,1,0,6,1
94,2,2,0,0,5,1
47,2,1,1,1,2,0
61,9,0,1,0,6,0
90,5,4,1,1,7,1
154,1,3,1,1,4,1
43,6,4,1,0,2,0
160,7,2,1,1,7,1
141,8,3,1,0,2,1
105,3,2,0,1,1,1
70,3,2,0,0,1,0
70,6,4,1,0,4,1
21,2,0,1,1,8,1
56,9,2,0,1,0,1
35,4,0,1,0,2,0
56,8,1,1,0,7,0
163,8,2,0,0,6,1
116,2,1,1,0,2,0
128,5,3,1,0,8,1
26,7,1,1,1,8,1
154,4,0,1,1,2,0
155,4,1,0,1,7,1
122,3,1,0,0,5,1
189,2,2,1,0,5,0
42,5,4,1,1,6,1
121,4,2,1,1,7,1
64,9,2,0,0,7,0
161,6,1,1,1,3,1
88,6,0,1,1,5,1
188,9,1,0,0,7,1
35,3,4,1,0,5,0
77,3,3,0,1,0,1
149,1,1,1,1,5,1
46,4,4,0,0,0,0
19,5,1,1,1,7,1
139,4,0,0,0,8,1
26,9,2,0,1,5,1
172,1,4,1,1,1,1
87,5,2,0,1,2,1
44,1,3,1,0,7,0
23,3,4,0,0,2,0
163,4,0,0,1,8,1
155,8,2,0,1,0,1
32,1,0,0,0,6,0
62,8,2,0,0,5,0
144,3,1,1,1,0,0
164,4,4,1,0,0,0
164,7,0,1,1,5,1
75,5,2,1,0,5,0
168,4,4,1,1,7,1
24,8,4,0,0,3,1
85,2,2,0,0,2,0
35,5,3,0,1,9,1
113,6,1,1,0,9,1
150,8,1,0,0,7,1
69,4,3,0,1,4,1
81,1,3,0,1,8,1
60,8,0,1,0,6,0
110,5,1,1,1,5,1
66,1,2,1,0,4,0
62,9,1,1,0,4,0
44,4,0,1,0,5,0
171,1,2,0,1,2,1
191,8,0,0,1,5,1
97,1,0,0,0,5,1
163,2,4,0,0,0,1
93,9,0,1,1,5,1
72,8,0,0,0,6,0
193,3,4,0,0,7,1
28,2,0,1,0,1,0
122,2,2,0,1,0,1
17,7,2,1,1,9,1
119,2,3,0,0,6,1
41,2,4,1,0,8,0
196,8,0,0,0,2,1
60,1,3,0,1,1,1
44,8,2,1,1,3,0
151,7,1,0,1,6,1
170,7,4,0,1,2,1
45,2,1,0,0,4,0
139,3,3,1,0,4,1
175,9,1,0,1,2,1
95,8,0,1,1,7,1
68,7,0,1,0,0,0
49,2,4,0,0,8,1
31,4,1,1,0,1,0
84,6,1,1,0,9,1
109,9,1,0,0,8,1
131,7,4,1,1,4,1
36,9,2,1,1,8,1
62,7,1,0,0,9,0
199,2,3,1,0,0,1
45,3,1,0,0,7,0
173,1,2,0,1,2,1
63,2,4,1,0,9,1
157,3,2,1,0,0,0
118,2,0,1,1,4,1
82,9,0,0,0,7,1
51,9,2,0,1,4,1
117,3,1,1,0,4,1
58,1,1,0,0,0,0
71,8,2,1,0,4,0
127,6,0,1,0,9,1
118,7,0,0,1,4,1
95,7,4,0,0,2,1
185,8,1,0,0,1,1
125,7,2,1,0,9,1
112,1,2,1,1,1,0
180,8,1,0,0,6,1
24,8,0,1,0,5,0
170,2,2,1,1,6,1
22,2,2,0,0,3,1
71,5,3,0,1,7,1
130,9,3,0,0,0,1
12,8,1,1,1,4,1
162,1,4,1,0,8,1
152,1,0,1,1,9,1
46,5,2,1,1,6,1
193,8,2,1,0,1,0
61,4,2,1,1,5,0
119,2,0,1,0,0,0
129,6,4,0,1,6,1
186,9,2,1,1,0,1
70,3,1,1,1,0,0
169,3,4,1,0,8,1
82,4,4,1,0,8,1
193,3,2,1,0,8,1
85,9,0,0,0,1,1
133,6,2,0,1,9,1
155,6,4,1,1,4,1
90,2,4,1,1,2,1
195,3,1,1,0,0,0
156,8,3,0,0,8,1
22,9,4,1,1,5,1
197,7,4,0,0,9,1
40,7,1,1,1,4,1
167,7,1,1,1,6,1
22,1,0,0,1,1,0
97,3,2,1,0,9,0
72,5,4,1,1,3,1
105,4,1,1,0,0,0
154,6,0,1,1,7,1
59,4,2,0,1,6,1
38,1,2,0,1,6,1
35,2,1,0,1,0,0
48,7,4,0,0,3,1
41,2,3,1,0,2,0
193,5,4,0,1,5,1
156,9,4,0,0,0,1
67,6,1,0,0,0,0
21,2,3,1,0,7,0
154,5,2,1,1,3,1
140,5,3,1,0,3,1
55,9,0,1,1,3,0
175,9,3,0,1,5,1
126,2,2,1,0,0,1
27,2,2,0,0,0,0
178,8,2,1,0,7,1
50,1,3,0,1,5,1
95,4,0,1,1,1,0
11,1,0,0,0,0,0
163,6,1,1,0,9,1
183,2,1,1,0,0,0
70,3,2,1,0,5,0
169,9,1,1,1,7,1
187,4,2,0,0,3,0
143,6,1,0,0,8,1
197,2,3,0,1,8,1
54,3,1,0,0,3,0
128,5,2,1,1,5,1
155,3,4,1,1,8,1
68,3,3,1,0,2,0
191,1,3,0,1,4,1
168,8,3,0,1,3,1
197,8,1,0,0,8,1
173,5,1,1,1,1,1
88,2,3,1,0,9,1
124,6,4,1,0,1,1
49,5,0,0,1,7,1
109,7,1,1,1,1,1
128,5,4,1,0,8,1
71,6,3,0,0,7,1
93,2,0,0,0,8,1
37,2,2,0,0,0,0
193,4,4,0,0,9,1
127,9,0,0,1,7,1
180,1,0,1,1,3,0
116,5,4,1,0,0,1
129,8,3,0,0,5,1
117,4,1,1,1,8,1
46,4,1,0,0,6,0
68,5,0,0,0,9,0
52,2,0,1,0,8,0
193,2,3,1,1,6,1
137,4,1,1,1,6,1
17,2,4,0,0,7,1
166,6,4,0,1,1,1
64,7,1,0,1,1,1
154,8,0,1,0,7,1
98,4,0,0,0,4,1
57,5,0,1,1,1,0
72,9,0,0,0,8,1
168,9,2,1,1,5,1
141,6,2,1,1,1,1
150,9,2,0,0,0,1
97,6,0,0,0,0,1
85,7,4,0,1,8,1
170,1,0,0,1,5,1
20,3,1,1,1,8,0
35,8,1,1,1,4,1
163,9,3,0,1,4,1
53,4,2,1,0,5,0
117,5,2,0,1,4,1
133,9,3,0,0,3,1
30,6,2,1,1,3,0
61,3,1,1,1,1,0
86,4,1,0,1,6,1
104,7,4,0,0,7,1
179,8,3,1,1,5,1
16,6,0,1,1,9,1
56,7,4,1,1,8,1
35,9,1,1,1,8,1
134,8,0,1,0,4,1
77,2,2,1,1,6,1
98,2,2,1,1,0,0
78,1,2,1,1,0,0
159,5,2,1,0,9,1
87,9,0,1,1,2,1
16,5,1,0,1,5,1
134,7,0,0,0,6,1
33,3,3,1,1,9,1
41,7,4,1,1,7,1
106,4,2,0,1,0,1
132,6,0,0,1,0,1
69,2,3,0,1,4,1
17,6,1,0,1,9,1
12,6,1,0,1,1,1
111,1,2,1,0,3,1
53,4,4,0,0,8,1
64,9,3,0,1,7,1
12,7,3,0,1,5,1
14,4,3,0,0,4,1
93,6,1,1,0,0,0
47,4,1,0,1,3,0
123,2,0,0,1,8,1
84,3,3,1,0,9,1
64,6,2,1,0,5,0
21,1,1,1,1,2,0
167,6,2,1,0,3,0
152,5,2,1,0,1,0
29,2,1,0,1,8,1
63,1,3,0,1,0,1
119,6,4,1,0,2,1
178,6,0,0,0,1,1
145,5,1,1,0,3,1
21,4,1,0,1,5,1
169,2,3,0,0,2,1
14,3,1,1,0,1,0
187,8,0,0,0,8,1
108,5,0,1,1,2,1
16,1,3,1,0,7,0
112,4,4,1,1,5,1
187,5,3,0,1,2,1
16,6,4,0,1,4,1
192,2,2,0,1,5,1
88,5,1,0,1,7,1
176,5,0,0,0,9,1
190,2,4,0,1,3,1
197,5,3,1,0,4,1
35,4,1,1,1,1,0
189,6,1,0,1,0,1
114,1,0,0,0,1,0
38,1,1,1,1,7,0
43,8,2,1,1,0,0
197,7,4,0,0,0,1
96,5,4,1,0,6,1
52,1,4,0,1,2,1
161,1,4,1,0,7,1
67,4,2,1,0,2,0
37,3,2,1,0,4,0
105,8,1,1,0,0,0
113,9,0,1,0,1,1
45,4,0,0,0,9,0
123,5,3,1,0,7,1
11,6,4,0,1,1,1
20,1,1,0,0,8,0
87,9,1,1,1,3,1
181,3,0,1,0,2,0
128,7,0,1,0,1,0
158,8,3,1,0,5,1
159,9,3,0,0,1,1
11,5,3,0,1,2,1
160,8,3,0,1,4,1
198,1,2,0,1,2,1
32,7,3,0,0,4,1
120,8,1,1,1,7,1
138,5,2,0,1,7,1
73,2,2,0,1,4,1
137,7,2,0,1,8,1
121,9,3,1,1,9,1
99,6,3,0,1,8,1
171,5,0,1,0,2,0
79,8,2,0,1,3,1
120,4,3,1,1,5,1
163,5,4,1,1,6,1
158,6,3,1,0,3,1
26,7,3,0,1,2,1
89,7,3,1,1,7,1
171,2,2,0,1,2,1
58,3,4,1,1,9,1
126,4,2,1,0,3,0
122,7,0,1,0,3,1
56,9,3,1,0,0,0
13,4,2,0,1,6,1
146,5,0,1,0,9,1
59,3,4,0,0,5,1
90,3,4,0,1,2,1
55,3,4,0,1,4,1
58,5,1,1,0,3,0
13,7,1,0,0,7,0
79,9,3,1,1,8,1
40,4,0,1,0,7,1
167,6,3,0,0,6,1
23,8,1,1,1,5,1
115,9,4,1,1,8,1
54,4,2,1,1,9,0
30,4,1,0,0,6,1
152,2,2,1,1,6,1
158,8,0,0,1,4,1
91,5,2,0,1,4,1
58,3,2,0,0,8,0
170,2,4,1,0,9,1
80,6,0,0,1,1,1
37,9,0,0,1,5,1
107,1,1,0,0,1,0
66,2,1,1,1,2,0
95,8,3,0,1,2,1
72,1,4,1,1,3,0
152,8,4,0,1,3,1
101,9,1,1,1,0,1
75,9,2,1,1,0,0
15,7,3,0,0,1,1
180,3,4,0,0,7,1
21,8,3,1,0,3,0
81,7,0,0,0,7,1
51,4,3,1,0,2,0
36,2,2,1,1,0,0
17,5,3,1,0,4,1
13,6,2,1,0,6,0
72,7,4,0,1,1,1
13,6,1,0,0,6,0
78,9,2,0,1,8,1
157,2,1,1,1,4,1
198,9,3,1,1,5,1
69,9,2,1,0,8,0
140,5,3,1,1,0,1
172,4,1,0,0,1,0
194,7,0,0,1,2,1
42,4,4,1,1,1,0
165,7,0,1,1,0,1
96,3,3,1,0,5,1
152,5,2,0,0,4,1
55,4,3,1,0,6,0
86,2,2,0,1,6,1
196,2,3,0,1,2,1
156,4,0,0,1,7,1
23,6,0,0,1,2,1
140,3,0,1,1,6,1
72,9,2,1,0,8,0
184,4,4,0,1,7,1
39,9,0,1,1,8,1
151,5,2,0,0,8,1
77,8,1,0,0,5,1
178,8,4,1,0,2,1
20,2,4,0,0,4,1
57,4,4,0,1,0,1
198,9,3,0,0,1,1
74,8,4,0,0,7,1
85,6,3,1,0,8,1
156,4,4,1,1,4,1
60,6,3,0,0,2,1
141,7,3,1,1,5,1
85,3,3,1,1,1,1
100,7,0,0,1,6,1
175,6,0,1,0,5,1
36,8,2,1,1,0,0
118,1,2,1,1,2,0
93,8,0,0,0,5,1
58,1,2,1,1,0,0
94,5,0,1,1,9,1
116,6,0,0,1,4,1
58,9,0,1,0,2,0
192,9,4,1,0,2,1
148,1,3,0,1,7,1
198,5,4,1,0,0,1
54,7,3,1,0,7,1
162,7,4,0,0,0,1
184,4,1,1,1,3,0
136,4,1,0,0,7,1
93,1,0,1,1,2,0
176,2,4,0,1,1,1
60,2,2,1,0,8,0
12,4,2,0,1,5,1
140,8,1,0,0,2,1
74,7,4,0,1,4,1
71,1,0,0,1,8,1
47,5,2,1,1,2,1
82,5,1,1,1,1,1
41,3,2,1,1,8,0
113,9,3,1,0,7,1
176,2,3,0,0,3,1
174,8,0,0,0,3,1
28,2,3,0,0,0,0
73,5,1,1,1,7,1
74,4,0,0,1,4,1
167,8,2,0,0,3,1
163,6,2,1,0,9,1
60,2,2,0,0,4,0
131,5,1,1,0,2,0
27,9,0,0,0,3,1
31,4,4,0,0,0,0
118,6,4,0,0,2,1
140,2,4,0,1,0,1
94,5,3,0,0,3,1
138,8,4,0,0,1,1
148,4,2,0,0,2,0
113,6,0,1,1,2,1
174,7,4,1,1,4,1
154,5,3,1,0,4,1
107,6,4,0,1,5,1
158,6,2,0,1,4,1
193,4,0,1,1,5,1
26,3,2,1,1,3,0
192,4,2,0,1,7,1
160,9,2,1,0,2,0
91,3,3,0,0,2,1
57,9,3,0,0,0,1
122,1,2,0,1,2,1
196,5,4,0,1,6,1
123,6,4,1,0,2,1
63,5,3,1,0,7,1
44,8,0,1,0,2,0
17,1,2,0,1,8,1
46,1,4,0,1,7,1
142,9,0,1,0,1,0
32,9,1,1,1,3,0
111,3,2,1,1,1,1
92,6,1,1,0,6,1
171,6,3,1,1,9,1
22,8,3,1,0,2,0
129,7,2,1,0,6,1
62,7,0,0,0,4,1
156,5,2,0,0,5,1
40,1,1,1,1,7,0
157,2,1,1,1,3,0
88,6,3,0,0,6,1
17,2,3,0,0,1,0
107,9,3,0,0,8,1
102,2,0,0,1,1,1
17,9,4,1,0,8,1
74,3,0,0,1,3,0
152,3,4,0,0,5,1
121,8,3,0,0,0,1
195,7,1,0,0,8,1
129,7,1,0,0,4,1
158,5,0,1,1,0,1
184,9,0,0,1,2,1
149,5,1,0,0,5,1
57,7,3,1,0,2,0
155,3,3,0,1,6,1
22,2,4,0,1,1,1
25,9,0,1,0,5,0
109,7,4,0,1,8,1
17,7,3,1,0,5,1
181,5,3,1,1,5,1
74,4,4,1,0,2,0
58,6,1,0,1,4,1
83,5,1,1,0,3,0
172,9,2,0,1,0,1
21,6,3,1,0,8,1
131,6,0,1,0,0,0
195,6,4,1,0,8,1
171,5,4,0,0,6,1
195,7,3,0,1,4,1
144,4,2,0,1,7,1
54,6,2,1,1,2,0
166,2,1,1,0,6,0
13,8,0,0,0,7,0
187,6,0,0,0,9,1
115,9,1,0,1,2,1
20,5,3,0,0,0,1
58,4,3,0,0,8,1
183,2,1,0,1,4,1
93,4,0,0,1,5,1
170,2,2,1,0,9,0
143,6,1,1,1,2,1
15,8,3,0,0,0,1
84,2,2,0,1,5,1
178,4,2,1,1,7,1
73,9,3,0,0,8,1
27,3,1,1,1,3,0
38,2,0,0,0,4,0
171,7,4,1,1,3,1
103,1,2,0,0,3,0
95,6,3,0,0,9,1
45,5,3,1,1,9,1
180,5,1,1,1,1,1
64,8,2,1,0,8,0
117,4,0,1,1,6,1
164,2,2,0,1,8,1
102,7,0,0,1,3,1
126,3,2,0,0,9,1
26,2,4,1,0,3,0
91,4,0,1,0,9,0
157,4,1,0,0,8,1
114,5,1,0,0,5,1
107,8,4,0,0,3,1
148,8,2,0,0,9,1
124,3,4,1,0,6,1
80,8,4,0,1,3,1
32,4,1,1,0,7,0
156,7,3,1,0,3,1
131,3,4,0,0,7,1
36,8,4,1,1,7,1
33,4,2,1,0,0,0
125,7,4,0,0,4,1
71,9,0,0,0,5,0
66,8,4,0,1,2,1
137,3,3,1,1,5,1
173,9,4,0,0,9,1
59,5,0,1,0,2,0
135,6,3,0,1,7,1
31,5,4,1,0,6,1
40,2,0,0,0,9,0
26,4,3,0,0,4,1
110,6,0,0,0,8,1
60,4,0,0,0,7,0
24,7,2,1,0,6,0
135,9,0,1,0,8,1
82,6,3,1,0,2,1
90,1,3,1,0,6,1
74,1,2,1,0,3,0
137,4,1,0,0,3,0
87,1,1,0,0,3,0
166,3,0,0,0,7,1
92,5,0,0,0,5,1
22,3,2,1,1,9,0
104,4,3,0,1,7,1
31,3,0,0,1,6,1
193,7,2,1,1,6,1
92,3,1,1,1,7,1
133,1,0,1,1,4,1
84,5,2,1,0,5,1
106,5,0,1,1,4,1
127,8,2,0,1,1,1
121,9,2,1,0,1,0
176,4,0,0,1,5,1
144,7,2,1,1,7,1
157,8,1,0,1,8,1
66,8,1,1,0,9,0
15,5,3,1,0,4,1
91,4,0,0,0,0,0
140,2,0,0,1,1,1
133,8,1,1,1,9,1
180,7,2,0,0,5,1
29,9,3,1,0,3,1
75,5,1,1,0,5,0
19,9,0,1,1,5,1
196,4,2,1,1,3,0
163,9,1,0,0,5,1
188,5,2,1,1,3,1
107,9,4,1,0,0,1
54,4,0,0,1,2,0
173,9,4,1,1,5,1
185,6,0,1,1,5,1
187,3,3,0,0,8,1
165,4,4,0,0,9,1
156,8,3,0,0,8,1
50,2,3,0,1,6,1
122,5,3,0,1,0,1
119,5,2,1,1,7,1
70,2,2,1,1,0,0
91,7,1,1,1,2,1
173,8,2,1,1,0,1
129,8,2,1,1,0,1
82,6,2,0,0,0,1
197,1,4,0,1,7,1
196,5,1,0,1,5,1
177,4,1,1,0,4,0
27,2,2,1,0,3,0
144,6,3,1,0,0,1
64,3,1,0,0,5,0
166,5,0,1,1,4,1
118,4,2,0,1,4,1
138,4,3,1,0,7,1
32,9,4,0,0,9,1
61,8,0,0,0,6,0
45,1,1,1,0,0,0
70,9,2,0,0,6,0
127,5,1,0,0,6,1
167,9,0,0,0,4,1
96,4,4,0,0,7,1
94,2,4,1,1,1,1
103,6,0,1,0,9,1
131,3,3,1,0,9,1
37,7,2,1,0,7,0
146,1,0,0,0,9,1
177,1,4,1,1,2,1
150,6,0,1,0,0,0
70,7,1,0,0,4,0
16,1,4,0,0,0,0
140,5,2,1,1,8,1
63,9,0,0,0,5,0
117,3,0,0,1,2,1
156,2,0,0,0,2,1
183,9,1,0,1,1,1
145,6,3,0,0,7,1
45,4,0,0,0,1,0
54,6,3,1,0,9,1
76,3,2,1,1,7,1
68,7,3,0,1,3,1
84,2,0,0,1,1,1
70,8,0,1,1,8,1
67,5,4,1,0,9,1
108,5,2,1,1,6,1
101,9,3,1,0,9,1
154,7,2,0,1,9,1
45,5,4,1,1,9,1
85,6,2,0,1,1,1
103,1,1,1,1,2,0
155,1,0,0,0,5,1
70,1,4,1,1,4,1
131,4,1,0,0,3,0
128,6,3,1,0,3,1
170,8,0,0,0,5,1
79,5,2,0,0,7,1
55,2,0,1,1,7,0
166,7,4,1,1,1,1
17,1,4,1,1,3,0
198,3,4,0,0,0,1
44,4,2,0,0,2,0
167,5,2,1,1,7,1
123,1,3,1,0,9,1
108,3,4,0,0,9,1
92,9,3,0,0,2,1
180,2,1,0,0,8,1
29,3,2,1,1,6,0
68,5,2,0,1,1,1
141,6,0,1,1,5,1
162,2,2,0,1,1,1
129,7,2,0,1,4,1
96,9,2,0,0,8,1
191,6,2,0,1,6,1
13,1,3,1,1,1,0
102,2,3,1,1,0,1
128,8,3,1,1,2,1
165,8,1,1,0,1,0
75,4,1,0,1,7,1
52,6,3,1,0,7,1
167,1,3,1,0,6,1
54,8,2,0,0,7,0
82,3,2,1,0,9,0
128,9,4,1,1,3,1
133,7,4,0,1,0,1
26,3,2,1,1,6,0
43,4,1,1,1,9,1
24,5,3,0,0,8,1
49,8,3,1,0,7,1
148,8,4,1,1,9,1
48,1,3,0,0,3,0
95,4,1,1,1,7,1
136,8,1,0,0,4,1
19,8,2,1,1,6,1
154,1,1,0,0,9,1
190,8,1,0,1,8,1
185,2,2,1,1,0,0
24,7,4,0,1,8,1
49,4,1,0,0,1,0
85,6,2,1,0,8,1
57,2,3,0,0,7,1
150,1,0,0,1,2,1
86,9,3,1,1,5,1
141,7,0,0,1,5,1
175,8,3,0,1,2,1
165,3,4,1,1,5,1
105,6,0,1,1,2,1
147,3,2,1,0,4,0
98,9,4,1,1,6,1
136,6,3,0,0,9,1
123,1,3,1,0,0,0
138,1,1,1,1,6,1
183,8,2,1,0,6,1
165,9,4,1,0,1,1
154,7,4,1,1,1,1
22,5,4,1,0,0,0
125,9,3,1,1,4,1
137,4,0,0,1,8,1
191,1,3,0,0,1,1
18,1,4,1,0,8,0
164,1,2,1,1,2,0
180,1,0,1,1,4,1
94,8,1,1,0,2,0
186,3,2,0,1,0,1
158,3,1,0,1,2,1
112,1,2,1,1,1,0
46,3,3,1,1,9,1
186,4,1,0,1,9,1
41,1,0,1,0,2,0
108,8,2,1,0,9,1
57,8,0,0,1,7,1
123,4,3,0,0,7,1
85,8,4,0,0,1,1
76,8,1,0,1,3,1
113,3,2,1,0,2,0
122,3,3,0,0,9,1
184,2,1,1,1,6,1
141,7,0,1,0,1,0
131,5,0,1,0,3,0
199,1,3,1,0,9,1
119,4,0,0,1,8,1
131,5,0,0,1,6,1
100,2,4,1,0,5,1
113,7,2,1,1,9,1
98,4,0,1,0,4,1
190,7,4,1,0,5,1
102,5,0,0,1,1,1
113,3,2,1,1,6,1
99,8,4,0,1,9,1
103,9,1,0,1,1,1
40,4,0,1,0,6,0
110,1,0,0,0,9,1
191,5,0,1,1,2,1
17,1,0,1,1,0,0
87,6,2,1,1,7,1
198,6,4,0,0,0,1
168,5,2,1,1,4,1
67,1,0,1,1,4,0
143,6,2,1,1,1,1
141,1,0,1,1,6,1
137,7,2,0,0,2,1
90,3,2,1,1,2,0
185,8,4,0,0,6,1
116,2,0,0,1,3,1
150,6,1,1,1,4,1
121,4,2,1,1,3,0
37,2,2,1,1,7,0
168,9,4,1,1,6,1
117,3,1,0,0,2,1
155,2,4,0,0,6,1
69,2,2,1,0,6,0
143,8,1,0,1,3,1
102,7,1,1,0,7,1
131,9,4,1,1,5,1
121,8,2,0,0,9,1
148,1,3,0,1,0,1
50,3,4,1,1,7,1
44,6,0,1,1,6,1
20,3,0,1,1,6,0
27,1,2,0,0,6,1
134,5,3,1,0,8,1
165,2,4,1,1,8,1
83,9,1,1,0,8,1
34,3,3,1,1,9,1
108,5,4,1,0,6,1
135,2,3,0,1,1,1
63,1,2,1,0,4,0
153,6,0,1,0,9,1
85,4,1,1,0,7,0
120,7,3,1,0,0,1
72,1,3,0,1,4,1
99,4,3,1,0,4,1
167,7,1,0,0,3,1
133,5,4,0,0,3,1
184,4,2,0,1,4,1
73,5,2,0,1,3,1
34,6,3,1,1,1,1
191,4,4,0,0,1,1
150,6,4,1,1,3,1
189,4,0,0,0,2,0
125,9,3,0,1,3,1
59,2,4,1,0,4,1
77,2,4,1,0,9,1
104,7,3,0,1,2,1
194,5,4,0,0,4,1
41,2,2,1,1,1,0
26,7,4,0,0,7,1
138,7,4,1,0,9,1
120,2,3,0,0,0,1
101,1,3,0,1,6,1
139,8,3,1,0,9,1
49,2,2,0,0,2,0
36,1,1,0,1,1,0
39,4,3,0,1,9,1
197,8,0,0,1,8,1
127,5,4,1,0,3,1
116,9,1,1,1,8,1
75,8,0,1,1,8,1
19,9,1,1,1,6,1
69,2,0,0,1,3,0
164,2,0,1,1,4,1
165,4,4,0,1,4,1
147,5,1,1,1,1,1
137,6,3,0,1,5,1
136,4,0,1,0,3,0
47,3,4,0,1,4,1
158,8,2,1,0,5,1
149,1,4,0,1,6,1
55,1,0,1,0,1,0
36,4,2,1,0,0,1
108,1,3,0,1,5,1
199,7,4,0,1,2,1
142,9,4,1,0,8,1
104,6,1,0,0,8,1
81,7,0,1,1,6,1
105,7,2,0,1,9,1
25,3,3,1,0,0,0
190,1,0,1,0,3,0
38,3,0,0,1,2,0
117,4,4,1,0,6,1
13,3,2,1,0,8,0
61,5,4,1,0,2,0
51,3,1,0,0,8,1
48,3,3,0,0,6,1
20,6,1,0,0,5,0
122,1,2,1,1,3,0
129,7,2,0,0,3,1
162,6,3,0,0,4,1
174,5,0,0,0,5,1
63,9,3,1,1,0,1
16,6,0,0,0,6,0
120,9,1,0,1,2,1
106,4,2,1,1,0,0
167,4,4,0,0,7,1
188,6,1,0,0,4,1
73,6,3,1,1,6,1
16,6,0,1,0,8,0
194,7,4,1,1,3,1
170,1,3,0,1,1,1
13,1,3,0,1,9,1
13,1,1,0,0,2,0
161,3,3,1,1,8,1
155,3,2,0,0,3,0
48,7,0,1,1,5,1
75,4,1,1,0,6,0
136,7,1,0,1,5,1
53,8,2,0,1,4,1
39,9,1,0,1,4,1
21,6,2,0,0,5,1
38,1,2,1,0,1,0
126,6,1,0,0,1,1
175,5,1,0,1,9,1
20,4,2,1,1,0,0
31,2,3,0,1,9,1
34,7,0,0,0,6,0
188,7,0,0,1,5,1
169,5,4,1,0,9,1
48,7,4,0,0,2,1
92,3,3,0,1,2,1
76,8,1,1,0,3,1
54,8,4,0,1,8,1
69,5,0,0,0,6,1
178,6,0,0,1,0,1
19,8,0,0,1,8,1
197,9,3,0,0,5,1
180,9,1,1,0,1,0
72,9,3,0,1,8,1
77,9,1,1,0,9,1
145,6,4,0,0,8,1
157,6,1,0,1,1,1
54,2,3,0,0,1,0
192,3,2,0,0,9,1
23,6,4,1,1,8,1
60,7,2,1,1,6,1
101,1,2,1,0,3,0
186,5,1,0,1,2,1
