ip_address,threat_type,threat_level,confidence,first_seen_days_ago,last_seen_days_ago,total_reports,is_active
136.162.162.33,botnet,4,0.9516033339578946,308,24,87,1
123.4.233.231,spam,1,0.5104914981431516,71,6,3,1
250.40.27.135,bruteforce,8,0.7373240788909025,333,11,94,0
201.71.11.162,bruteforce,8,0.9655790455553112,161,12,32,0
33.47.246.151,bruteforce,3,0.6974204998825105,329,28,15,1
62.215.36.99,bruteforce,3,0.7140878437310751,327,12,75,0
172.103.213.219,bruteforce,5,0.78928002759956,268,13,66,1
35.192.226.101,botnet,3,0.7314686667885917,217,14,90,1
175.205.130.1,malware,5,0.5843008456187762,253,1,63,0
5.217.246.142,spam,8,0.5092777695349302,58,5,98,1
103.26.136.207,phishing,1,0.8049058289893508,31,8,1,0
15.89.41.124,bruteforce,2,0.9604032935039061,338,14,75,0
205.178.62.96,botnet,2,0.5531820665135828,119,19,5,0
231.240.51.253,spam,4,0.6054763596263767,309,15,90,0
96.131.221.229,spam,9,0.6851147429124868,1,25,6,0
151.230.236.143,spam,2,0.9043711145105598,117,1,99,0
171.28.35.13,botnet,9,0.6346301582354887,36,2,5,1
160.70.186.243,phishing,7,0.9410272021393842,96,22,73,1
86.27.65.170,bruteforce,8,0.5274789373250333,358,19,28,1
45.61.184.245,spam,1,0.9704783106294674,256,22,83,0
134.27.27.108,botnet,5,0.7803735389368824,127,20,69,1
44.83.29.190,malware,9,0.8293888392438522,358,29,87,1
75.127.249.247,botnet,4,0.6838447612681766,155,7,44,0
92.216.230.190,botnet,2,0.8909971427555301,144,7,16,1
225.128.120.27,botnet,6,0.583283125042203,56,20,71,1
190.120.115.205,spam,2,0.5244559126392435,69,6,78,1
233.2.102.198,botnet,3,0.6977584715537786,43,10,22,1
200.154.136.62,malware,8,0.9268478569905197,211,21,73,1
165.224.50.234,spam,3,0.8774634183188473,174,12,23,1
172.151.206.59,malware,2,0.758577985244479,140,7,43,1
118.159.95.216,scanner,6,0.7860688735826767,75,8,68,1
233.179.112.62,botnet,3,0.5649464131493778,157,15,43,1
241.185.51.12,bruteforce,1,0.9203407543087911,84,4,26,1
254.38.129.131,bruteforce,3,0.8934798414820985,321,22,41,0
113.100.112.184,spam,6,0.8282351969434714,308,13,70,1
81.186.112.2,bruteforce,3,0.7330955181644692,17,0,31,1
130.219.53.87,spam,9,0.9822296341397563,283,26,17,1
229.223.224.129,botnet,7,0.9395159859382356,41,23,9,1
147.125.129.53,phishing,5,0.8222152467573093,133,18,91,1
172.217.159.198,phishing,2,0.6859004988586439,101,16,55,1
160.246.67.183,malware,9,0.8090111393407562,136,21,6,1
203.183.122.145,botnet,5,0.7877204632653327,221,13,70,1
38.23.68.116,bruteforce,7,0.6971209939174582,228,12,64,0
98.197.213.139,botnet,9,0.6533369858440381,293,7,4,0
240.143.96.201,scanner,4,0.7035053961186613,305,26,67,1
124.186.69.208,phishing,9,0.7869557030166989,315,2,88,1
93.2.147.252,bruteforce,1,0.7140674223555472,118,0,56,1
187.163.146.90,phishing,6,0.631787244100692,98,18,18,1
195.254.146.148,botnet,2,0.8804816588804043,349,14,32,1
96.198.51.233,bruteforce,8,0.7657337479787065,323,20,85,1
161.167.127.39,malware,5,0.5338375816128,158,26,48,1
82.103.128.11,botnet,3,0.6841582528130628,238,7,29,1
220.184.216.178,malware,2,0.9424567286059968,319,8,32,1
151.158.221.42,bruteforce,8,0.877618265599976,334,12,25,1
99.6.251.144,phishing,7,0.6616233919720036,188,11,76,0
90.111.248.244,scanner,9,0.9690915760222545,308,8,63,1
60.112.1.129,spam,8,0.5383014541791051,248,19,9,1
48.253.139.197,phishing,4,0.9806173519460945,25,23,71,1
37.159.250.247,malware,2,0.6228525462423378,188,10,14,1
9.232.98.147,botnet,2,0.5045470901512097,139,4,20,0
48.207.130.148,bruteforce,2,0.7169040182591634,180,18,84,1
152.53.119.161,phishing,6,0.6794852148435043,20,20,10,1
152.115.74.113,scanner,7,0.7695445026033969,162,17,11,1
200.163.165.104,bruteforce,6,0.8983864302849227,70,10,39,0
84.253.226.112,malware,2,0.9212154010752236,81,26,19,1
254.216.98.153,bruteforce,4,0.700614999805846,154,10,19,1
93.145.127.110,bruteforce,3,0.714922871853175,315,5,43,1
82.193.53.163,botnet,4,0.5740888651647369,354,0,61,1
208.188.168.228,spam,5,0.5237738044405817,46,21,70,1
161.67.32.142,malware,7,0.8206074951175124,193,28,72,1
21.47.147.248,botnet,9,0.5322188127763461,223,20,65,0
128.135.134.195,spam,2,0.866915059710728,236,28,23,1
145.127.32.176,botnet,8,0.7695450725111237,279,8,60,1
204.186.114.214,spam,3,0.5992914891130416,9,28,10,1
119.21.237.158,spam,9,0.7697614717563248,151,29,63,1
38.229.108.51,spam,4,0.5914988583010494,343,6,2,1
182.7.26.27,botnet,3,0.7193686037552061,103,5,36,0
226.20.29.97,bruteforce,6,0.8997801581211144,123,26,57,1
28.110.191.225,spam,9,0.7309596467053188,184,27,66,1
197.251.60.48,bruteforce,7,0.5743496591487741,289,22,79,1
147.3.34.192,malware,4,0.8619143409114726,40,9,20,1
49.16.171.220,scanner,3,0.5933842081350045,10,4,42,0
158.220.45.117,bruteforce,4,0.8692749371850548,217,0,21,1
6.98.123.233,scanner,3,0.7396761446079166,0,14,94,1
37.23.92.241,spam,3,0.7268708795471508,170,24,88,1
46.180.94.99,scanner,9,0.9257175189287374,337,4,66,0
188.224.115.191,scanner,4,0.8543017621703344,281,19,38,1
253.212.159.215,spam,9,0.5164553984774696,52,5,86,1
161.66.127.18,bruteforce,5,0.6480871573008011,124,4,93,1
25.233.222.54,spam,7,0.9354603304249494,174,16,78,0
58.66.103.174,malware,5,0.5091630842725994,264,17,69,1
24.113.31.175,phishing,1,0.7726267231309851,264,3,24,1
86.150.193.127,botnet,2,0.863912834586972,198,23,26,0
155.233.129.218,spam,5,0.8109280427422879,255,20,2,1
17.103.160.137,spam,6,0.8802661010522181,171,22,46,1
43.245.175.39,scanner,7,0.862845924457373,58,1,34,0
221.169.246.26,malware,2,0.8460153475765566,105,7,62,1
99.49.152.152,scanner,9,0.9107699304628261,124,4,87,1
13.59.249.135,bruteforce,6,0.8228453342247692,15,3,41,0
57.35.172.20,spam,2,0.701209247128491,37,24,99,1
65.7.237.144,spam,2,0.7359545549572938,242,21,15,1
142.203.114.215,scanner,3,0.8583623913407252,209,13,55,0
143.91.97.66,spam,1,0.938153014833397,314,3,3,1
32.214.190.86,bruteforce,9,0.6361094004198878,284,7,76,1
51.152.185.63,phishing,4,0.6710383979855354,167,2,38,0
190.124.149.58,botnet,5,0.9653696981812063,263,13,51,1
58.85.48.180,botnet,7,0.7892558962047227,97,28,17,0
170.69.14.54,botnet,1,0.5894809085675006,133,25,91,1
235.187.100.225,phishing,3,0.8318475694561913,364,17,83,1
8.52.59.236,spam,3,0.9953810777696899,180,22,49,0
108.4.102.196,scanner,2,0.9117267822352,221,29,21,1
6.108.223.116,malware,8,0.8728705682757014,363,11,88,1
94.46.98.55,spam,5,0.6040233271331346,148,14,24,0
168.51.143.13,phishing,1,0.9380698923420037,243,19,83,1
114.123.105.158,bruteforce,2,0.7628944217677732,312,19,95,0
147.144.119.63,phishing,1,0.9446450110359779,75,25,40,1
19.91.57.183,botnet,6,0.6649139147124397,261,8,20,0
90.228.217.117,spam,9,0.5310255263177164,230,1,79,1
62.22.126.137,botnet,7,0.7379879843298731,190,0,35,1
140.244.128.58,malware,5,0.6349188024089388,133,14,48,1
122.0.238.34,bruteforce,3,0.8576146448881491,308,22,99,0
96.125.117.48,botnet,8,0.9785532764280163,251,14,33,1
89.231.236.117,malware,4,0.845487075575782,244,27,56,1
129.15.188.231,phishing,9,0.9434669648546017,264,7,41,1
192.190.68.22,botnet,5,0.7265120068006032,324,2,54,0
93.246.194.76,botnet,6,0.8858203685976509,329,1,44,1
154.143.178.229,scanner,5,0.9215217183358517,342,3,82,0
86.184.28.206,bruteforce,7,0.8554378137917712,3,17,81,0
220.68.46.241,bruteforce,7,0.7538886430347823,36,11,72,1
94.237.189.244,phishing,1,0.8129330548076841,70,17,84,1
197.203.143.218,scanner,2,0.8502534978394402,261,20,11,0
218.175.84.39,malware,7,0.6265422016107134,236,9,94,0
100.32.253.222,malware,8,0.9047896304574924,306,20,91,1
101.22.249.10,phishing,4,0.9751622694836366,354,7,14,1
246.68.99.34,bruteforce,6,0.7326196575899679,177,24,42,1
180.222.137.250,malware,3,0.8505335915549387,95,17,79,1
147.185.95.1,phishing,7,0.8685129528951769,226,16,12,0
248.68.236.4,malware,3,0.8311237737607402,10,18,84,1
16.23.79.247,spam,7,0.7735575541643178,265,5,17,0
2.240.219.128,botnet,8,0.9408239772874053,188,13,90,1
160.218.83.152,bruteforce,3,0.7244633546344472,208,4,78,1
140.177.162.124,spam,2,0.5305514782433018,12,7,25,1
33.160.188.179,phishing,6,0.9222781878560802,161,7,26,0
171.100.11.67,phishing,4,0.8369906361582753,59,17,47,0
65.160.167.74,spam,8,0.9246293132498233,4,29,25,1
43.43.28.141,botnet,2,0.5692737212223471,201,8,89,1
12.94.45.130,botnet,4,0.5153764702548582,11,13,60,1
253.242.241.35,scanner,2,0.9671872701912507,340,13,60,0
215.80.89.8,malware,2,0.5738641529252871,239,19,27,1
93.153.201.90,scanner,2,0.9048261660352259,224,13,43,1
254.161.114.105,botnet,1,0.9116049710903179,181,16,76,1
135.195.57.245,spam,4,0.8543526002745014,296,29,20,1
114.236.74.157,malware,2,0.5656311055464355,303,1,63,0
120.163.216.21,spam,9,0.8336993122804037,306,13,80,1
253.248.163.138,scanner,9,0.9445432916634329,177,26,25,1
101.200.151.192,phishing,7,0.7127658224004416,117,21,27,0
227.176.98.240,spam,6,0.7067584271892995,351,20,52,1
36.209.240.231,scanner,3,0.7214291547897096,75,11,82,1
96.151.150.190,scanner,7,0.5411359453381033,45,22,10,1
224.36.11.113,scanner,1,0.9460127845149867,226,24,50,0
183.12.22.217,phishing,9,0.9345914319902552,355,15,30,1
99.104.29.17,phishing,4,0.9989546608951432,293,21,1,1
113.61.83.112,phishing,6,0.7925915707492067,239,5,54,1
217.85.140.187,malware,6,0.8755958182256929,347,17,4,0
19.176.99.140,phishing,3,0.6013359531536524,140,6,87,1
189.232.146.76,phishing,4,0.8337644091120848,203,1,7,0
9.198.27.206,phishing,3,0.8248664243786954,149,12,30,1
223.127.51.83,spam,6,0.9506043679208063,129,22,90,1
250.110.143.117,phishing,1,0.9153963614195371,348,7,65,1
69.98.139.25,malware,8,0.9692332313088816,332,11,29,0
180.122.212.228,scanner,8,0.9344167363508038,268,0,25,0
53.150.143.57,spam,9,0.9343469474494259,312,8,40,1
39.108.180.42,botnet,6,0.5318616633443591,136,7,26,1
186.166.141.223,phishing,1,0.9229809763479779,115,8,17,1
122.132.162.215,scanner,3,0.8037391972515591,350,4,31,1
221.234.74.146,scanner,1,0.6902222258829807,160,12,61,0
239.75.8.74,spam,5,0.5282573121940312,154,13,8,1
186.235.144.253,botnet,3,0.8388368873840233,172,3,69,0
230.6.173.141,bruteforce,2,0.6641008752688087,129,16,1,0
168.169.136.178,malware,3,0.7338881324930173,78,8,79,1
27.121.193.5,bruteforce,9,0.8408642185275672,56,29,71,1
29.164.165.83,scanner,8,0.9558872735120714,350,19,46,1
136.239.108.65,bruteforce,3,0.9127184578024992,56,14,91,0
86.243.144.71,scanner,2,0.7252985645518,362,19,99,0
217.44.131.36,bruteforce,5,0.6938915787231894,334,3,91,1
70.251.158.19,scanner,1,0.6198898694220237,133,1,20,1
189.107.181.167,scanner,4,0.6862133755879841,13,27,82,0
91.201.89.19,spam,8,0.5555231936459492,282,26,40,0
39.125.194.173,botnet,1,0.9855527541823772,293,12,2,0
141.241.219.126,scanner,5,0.7869587219797894,146,3,94,0
58.147.219.200,malware,4,0.5639029213976064,126,17,61,1
61.126.104.167,malware,6,0.6764030046329529,259,23,94,1
1.130.204.92,phishing,7,0.773519571810328,313,15,71,1
190.248.190.252,scanner,9,0.7664428183204348,217,22,77,0
113.152.55.161,scanner,1,0.5177516843593162,232,26,97,1
166.116.133.58,scanner,4,0.9754205171145557,167,9,30,0
44.172.159.173,bruteforce,6,0.6376878407374723,142,1,30,1
61.46.148.80,scanner,7,0.5080923344659456,259,13,87,0
118.212.202.252,scanner,7,0.5382220044751412,217,1,45,1
229.163.226.147,malware,8,0.7900974516239885,307,17,24,1
20.184.145.47,botnet,8,0.5688927603375484,145,0,84,1
233.48.13.143,botnet,8,0.5208623964267516,98,12,92,1
159.0.116.54,phishing,8,0.6898132332063557,181,5,56,1
118.2.143.215,malware,8,0.8113805961700943,168,21,83,0
185.202.11.74,scanner,6,0.5559199024208061,232,16,61,1
224.15.199.102,botnet,9,0.6566639160756578,92,26,13,1
204.151.155.117,spam,3,0.7088803358122711,116,16,80,0
8.121.91.164,spam,6,0.5797300488933836,3,21,56,1
90.135.185.60,spam,5,0.7530369492333551,84,10,15,1
178.27.219.101,scanner,8,0.5426070434508854,166,5,11,1
41.227.191.155,scanner,4,0.5232592481725343,6,19,12,1
246.190.144.201,phishing,4,0.7599176835775674,231,2,86,1
161.244.211.205,phishing,5,0.6239484863754379,250,13,89,1
220.239.156.141,phishing,6,0.5476869039490138,84,24,3,1
46.34.252.134,bruteforce,4,0.7119562937438162,318,5,24,0
82.114.196.47,spam,2,0.9575703697586974,192,16,89,1
153.193.9.56,scanner,2,0.8620962233270775,122,2,9,1
30.241.250.109,spam,3,0.9078079576735139,88,16,92,1
5.118.247.33,phishing,2,0.9359569943793182,94,18,46,1
118.64.145.224,scanner,1,0.9863138706982095,299,17,94,1
239.176.10.85,malware,8,0.8816232867570866,357,4,71,1
26.62.216.86,botnet,5,0.8042039609697398,44,14,60,0
59.26.176.205,botnet,1,0.6827129401511236,252,2,11,1
161.97.104.99,phishing,9,0.590821618278858,50,22,10,1
129.148.239.55,spam,8,0.8433299369916472,64,7,3,0
6.219.208.197,malware,4,0.997474993060971,53,6,19,1
95.132.101.3,scanner,8,0.7336793423094595,221,17,2,1
181.22.228.53,spam,7,0.8618396840464038,71,9,17,1
165.201.201.83,phishing,7,0.7475462249965781,167,25,93,1
145.84.77.201,spam,1,0.7159667116817383,185,22,2,1
110.0.50.173,phishing,6,0.7051528067799575,142,9,53,1
205.3.189.193,bruteforce,4,0.7523123414658488,18,18,16,1
113.231.31.34,botnet,2,0.6834478309326875,9,22,10,0
92.94.71.39,botnet,7,0.8743866609109039,271,0,68,1
154.249.161.182,spam,9,0.9371360132957582,170,1,43,1
118.2.122.50,malware,5,0.9414426533225921,363,27,90,0
12.192.53.236,scanner,8,0.613849356712913,15,25,58,0
133.221.221.251,phishing,5,0.9479545693657454,79,0,60,1
57.144.111.47,scanner,7,0.6707756159275525,283,8,24,1
151.206.228.85,botnet,7,0.6546538327426488,189,28,76,1
142.65.74.179,malware,9,0.863378028699118,147,28,85,0
103.165.191.252,malware,3,0.6523481700431447,162,14,16,1
226.37.49.98,scanner,1,0.526483202804855,264,17,99,0
82.29.78.91,botnet,2,0.686808886155154,359,17,9,0
179.190.225.52,scanner,6,0.8607328001791745,137,21,6,1
249.165.224.216,spam,9,0.6634792101350883,300,6,65,1
79.251.29.247,malware,3,0.8147795279975732,364,13,78,1
106.50.80.133,malware,2,0.8300597221315652,29,28,24,1
29.131.137.184,spam,1,0.8668680058631781,303,17,10,1
145.73.16.252,botnet,2,0.9485652331554681,167,29,82,1
84.215.68.34,malware,3,0.7162822496342157,90,19,73,1
6.52.193.205,bruteforce,7,0.5832160383312286,90,18,27,1
126.234.42.240,bruteforce,2,0.6594628577159447,210,28,83,0
203.114.110.249,bruteforce,5,0.716083627586993,329,4,3,1
151.182.79.95,phishing,2,0.8569457346640565,299,8,38,1
203.117.143.8,phishing,7,0.5065610627808168,173,17,73,1
132.103.131.184,botnet,8,0.6578926917199395,133,12,74,1
25.194.95.195,spam,8,0.8899212905096584,23,4,73,0
155.92.159.178,scanner,8,0.8354288516653476,200,23,17,0
61.121.50.147,botnet,9,0.8658699867928026,218,21,48,1
21.4.209.92,scanner,1,0.9059053847195974,6,19,49,0
170.60.21.149,botnet,1,0.8916178594389812,5,14,43,0
70.0.132.233,phishing,2,0.841091583076389,117,25,84,1
12.89.45.34,bruteforce,6,0.7198307661852953,160,23,7,1
177.77.217.45,spam,1,0.9917991644390769,84,18,68,1
155.72.25.249,phishing,5,0.7845365977950369,247,19,74,1
47.120.213.239,spam,5,0.6013846046844196,165,10,21,1
56.93.106.63,scanner,4,0.6464064275523922,144,8,78,1
48.60.80.26,botnet,5,0.8467812279852349,30,20,25,1
36.0.7.113,malware,1,0.9623697825997317,219,21,81,1
99.252.179.207,malware,6,0.5893600646029488,132,27,61,0
47.126.55.214,spam,7,0.5411732478728932,63,15,28,1
14.217.27.215,bruteforce,8,0.9407655240210031,75,10,78,1
78.215.129.109,bruteforce,2,0.9576389894564172,130,1,52,0
154.13.186.56,spam,7,0.6381896726579497,311,24,13,0
115.6.2.111,phishing,6,0.68864286218562,318,7,34,1
151.237.106.239,malware,9,0.8300939987489292,360,22,67,1
252.236.17.250,phishing,8,0.6649650104212375,37,24,4,0
38.226.114.15,scanner,4,0.9385793541350265,53,20,44,1
192.216.118.229,malware,9,0.5537893513569314,129,4,15,0
28.201.38.185,scanner,1,0.5189911104800976,217,10,84,1
17.230.85.218,botnet,6,0.6042431033713948,1,10,8,1
126.43.24.145,phishing,8,0.6430438891024846,245,8,5,0
13.211.24.68,spam,4,0.5564632956444375,139,10,66,1
138.66.232.109,malware,2,0.5328452146703233,295,4,92,1
146.110.227.111,phishing,2,0.8778038567508991,257,8,86,1
214.33.110.8,spam,1,0.5821382829511287,104,0,73,0
168.112.235.83,botnet,5,0.956961099533152,335,25,92,1
42.168.100.6,malware,6,0.683999830724048,184,9,46,1
180.25.63.226,scanner,4,0.8353029048606727,302,26,65,0
187.183.58.109,botnet,4,0.6127010573844001,243,7,66,1
198.228.120.33,bruteforce,5,0.6201613842459335,163,18,26,1
181.149.20.198,spam,5,0.7873546014337877,131,15,31,0
70.246.111.4,malware,9,0.7803214625729931,202,12,51,0
94.74.189.62,malware,8,0.8843646140060406,209,23,41,1
94.94.151.55,botnet,9,0.878906652847133,346,4,51,1
137.246.130.243,malware,3,0.8353438823318305,100,17,19,1
31.39.228.36,spam,3,0.7245652829467455,270,8,95,1
152.222.5.66,botnet,1,0.9453201931403086,48,3,73,1
212.219.74.4,scanner,6,0.8112892451106494,238,13,3,1
79.133.117.113,botnet,4,0.9950992452311787,214,29,38,1
94.247.229.179,botnet,8,0.9096849089671792,290,6,70,1
62.184.193.79,scanner,2,0.5221549056191631,349,11,45,0
203.135.25.179,bruteforce,2,0.6602969535401588,279,23,71,0
173.43.132.70,spam,7,0.7859378582354759,315,6,41,1
154.117.67.19,bruteforce,5,0.8607347689357436,76,10,25,0
212.224.19.113,bruteforce,1,0.7751682488809708,303,21,89,1
140.46.0.90,bruteforce,7,0.8930652112310908,150,14,50,1
142.63.37.37,phishing,7,0.6413278263786724,296,29,1,0
126.138.254.100,bruteforce,6,0.5919560256164125,156,27,54,1
77.234.2.161,phishing,4,0.5269583418948851,197,6,86,1
134.177.247.10,scanner,8,0.786656872285761,286,19,84,0
5.150.137.172,spam,2,0.8442997603377476,23,25,13,1
130.12.167.130,bruteforce,2,0.6630748585596808,8,16,40,0
84.64.62.101,malware,2,0.8067920924279384,131,4,21,1
73.16.8.203,scanner,3,0.5260786154266646,76,7,87,1
143.151.37.247,phishing,6,0.5496466731484018,225,9,41,1
163.93.94.49,spam,1,0.8508773861292491,130,5,61,0
69.61.187.236,botnet,2,0.6840348526086494,89,20,33,1
178.77.116.120,spam,2,0.8356670155515028,116,1,73,1
203.136.161.76,spam,1,0.915860560139959,109,25,29,1
227.34.0.40,bruteforce,3,0.9263112187380584,353,27,55,1
64.149.59.64,bruteforce,7,0.5860838227322255,270,4,32,1
93.71.10.105,phishing,1,0.7431427861756732,226,9,11,1
229.13.59.30,phishing,7,0.8669633618162432,243,27,52,1
35.212.164.5,bruteforce,5,0.8869902981334552,307,2,36,1
83.122.77.154,bruteforce,9,0.8923379903644388,54,12,93,1
62.131.88.237,malware,2,0.6140836671902923,36,15,31,1
42.88.145.40,malware,1,0.5962674088618867,54,14,14,1
72.38.103.14,scanner,9,0.795006234136848,11,1,63,1
32.178.124.166,bruteforce,8,0.8705428988691098,184,29,52,0
97.22.62.143,botnet,6,0.6595697577670967,236,2,54,0
225.152.144.225,malware,5,0.5523525784312108,292,19,50,1
239.246.193.206,phishing,8,0.8583731914550388,203,17,89,0
53.103.103.179,spam,8,0.6498489156900022,210,29,54,1
39.178.197.134,scanner,5,0.5831813621558609,225,19,90,1
67.134.178.200,malware,7,0.5738617641985658,6,19,86,0
42.191.243.15,spam,1,0.6574547737633581,219,14,73,1
111.156.32.244,spam,4,0.7963390329568727,310,21,97,0
222.230.154.164,malware,2,0.6792011193469083,27,27,87,1
157.37.184.97,botnet,3,0.5103309257967158,292,4,99,1
253.228.154.183,botnet,1,0.5484542173389055,211,22,84,1
33.253.195.86,scanner,2,0.6452516235993095,188,10,97,0
66.9.4.123,botnet,1,0.8298522410735459,74,22,35,0
74.96.117.38,scanner,8,0.5492575367342669,241,2,30,1
141.158.46.228,phishing,4,0.780328426750341,113,8,55,1
109.215.179.184,malware,3,0.5599429354120021,166,6,94,0
15.156.135.5,spam,1,0.6058076636746907,105,22,86,0
157.46.67.76,scanner,2,0.5860942637778814,150,1,1,1
173.129.154.95,botnet,3,0.5336143177854052,83,14,15,1
115.242.163.36,scanner,3,0.8356649086932951,211,11,25,1
26.42.26.69,bruteforce,6,0.7317017736930173,266,15,20,0
148.10.253.74,scanner,8,0.9155267204486691,321,25,71,0
104.37.133.200,botnet,6,0.5494454199911585,268,15,16,1
23.46.89.46,bruteforce,2,0.5723664666690361,176,15,52,1
107.139.217.141,bruteforce,2,0.6532288656752253,270,18,87,1
104.189.209.217,botnet,7,0.8829329934694041,311,2,85,1
225.110.103.60,bruteforce,1,0.6528794115778493,181,27,65,1
171.203.235.100,malware,1,0.7042093537493463,158,28,84,0
240.67.132.120,spam,7,0.6508017831485823,188,21,83,1
37.71.126.106,malware,9,0.5401121459005149,185,19,70,1
241.91.30.122,malware,5,0.9697168114480936,308,3,96,1
137.245.50.29,botnet,1,0.7742694960355945,245,0,1,1
206.39.40.214,botnet,5,0.8939165940927484,316,21,94,1
11.150.0.46,spam,1,0.829178546092648,41,7,16,0
101.148.89.110,scanner,9,0.7571271395309875,284,23,27,1
164.181.214.57,malware,4,0.5448391283296901,299,14,18,0
1.62.181.55,bruteforce,9,0.8213667726351521,361,23,77,0
115.167.142.149,spam,2,0.577685177968416,293,20,44,1
175.200.52.137,malware,7,0.7071915846781383,180,25,50,1
202.179.56.117,scanner,2,0.8145565717402152,364,21,92,1
154.168.34.63,bruteforce,4,0.8911145002360616,181,4,74,1
244.24.89.75,malware,6,0.8425225878543098,339,19,14,1
38.129.134.210,phishing,2,0.8357667645273144,217,11,52,0
219.161.90.17,spam,2,0.5745211045876037,162,19,93,0
128.170.186.108,botnet,2,0.6730642700357939,45,19,75,1
251.178.181.152,malware,3,0.5214561363300971,91,3,50,1
25.198.179.198,bruteforce,5,0.8597384465882323,104,29,91,1
245.87.160.177,bruteforce,9,0.9762929906587096,206,21,17,1
29.62.234.150,spam,6,0.6320551950895379,327,14,3,1
154.155.113.213,spam,9,0.5438483545811547,138,5,62,0
49.198.80.84,bruteforce,5,0.7377850383768267,28,4,95,0
105.176.147.118,bruteforce,6,0.9283491115637844,250,27,21,1
86.219.62.189,bruteforce,8,0.7759870976358898,190,10,33,1
104.48.70.1,malware,3,0.5233885750950567,46,13,1,1
224.140.221.215,bruteforce,2,0.987136120263973,250,10,70,1
179.122.183.211,botnet,3,0.9143249549813004,262,8,56,1
62.31.157.29,bruteforce,9,0.5657970385257551,63,23,4,1
49.172.220.30,botnet,6,0.9608988782517545,337,9,22,1
144.167.18.18,malware,4,0.7253441443025943,319,5,77,1
1.77.114.175,spam,3,0.6859489952874707,347,10,58,1
242.193.245.220,botnet,2,0.7305266652635941,267,8,44,1
113.113.221.166,malware,4,0.9172859784354737,11,4,57,0
179.62.131.129,bruteforce,9,0.8297398391433929,291,9,94,1
8.156.54.103,malware,4,0.5296242261998638,28,19,40,0
131.31.9.202,bruteforce,5,0.9788021855580855,138,13,90,0
211.109.161.124,malware,8,0.5738920667391589,84,5,56,1
225.86.54.220,spam,2,0.8727839758676755,73,3,63,0
32.177.134.93,botnet,3,0.8180682652140655,250,23,39,0
8.64.56.247,spam,6,0.5937640239732804,223,22,7,1
67.215.214.187,phishing,7,0.5853660380565249,46,20,14,1
253.71.53.249,bruteforce,4,0.9351637968523461,80,9,90,0
239.228.66.51,botnet,1,0.7098474617497985,120,21,18,1
97.91.238.8,spam,7,0.8272882570870692,42,10,55,1
162.34.95.88,botnet,9,0.7520355019283367,145,15,56,1
78.31.119.46,phishing,1,0.8636767585379798,73,6,88,1
235.143.195.244,scanner,1,0.7396211875196652,52,17,57,0
165.181.212.142,bruteforce,1,0.6436899576277841,232,24,58,1
223.54.175.210,bruteforce,7,0.6816916854982482,294,6,25,0
7.73.6.161,malware,9,0.9295388472251713,362,23,96,1
151.84.146.112,bruteforce,3,0.7340173464613635,199,29,70,0
125.146.35.29,bruteforce,8,0.6067246661223047,161,20,80,0
